"","time","distance","elevation","pace","heartrate","cadence"
"1","2:42",0.3,70,527,148,156
"2","3:11",0.3,77,481,149,150
"3","3:25",0.4,80,465,151,156
"4","3:50",0.4,85,377,134,156
"5","4:05",0.5,84,319,131,156
"6","4:22",0.5,78,330,122,160
"7","4:38",0.6,73,314,122,164
"8","4:57",0.6,72,388,117,156
"9","5:19",0.7,67,384,114,160
"10","5:38",0.7,67,390,111,158
"11","5:56",0.8,67,372,106,162
"12","6:12",0.8,67,381,108,160
"13","6:28",0.9,59,373,109,158
"14","6:43",0.9,56,312,111,160
"15","6:59",1,52,325,110,160
"16","7:21",1,48,339,113,160
"17","7:36",1.1,47,348,114,162
"18","7:49",1.1,46,376,117,162
"19","8:07",1.1,46,409,119,154
"20","8:26",1.2,49,374,127,158
"21","8:53",1.2,52,375,135,156
"22","9:13",1.3,51,391,133,162
"23","9:24",1.3,49,314,126,160
"24","9:46",1.4,45,339,120,158
"25","9:59",1.4,43,330,111,162
"26","10:13",1.5,41,331,111,160
"27","10:34",1.5,39,336,112,166
"28","10:45",1.6,37,338,116,164
"29","11:05",1.6,35,364,119,160
"30","11:23",1.7,32,363,117,164
"31","11:39",1.7,34,338,111,162
"32","11:53",1.8,37,329,111,168
"33","12:14",1.8,41,405,119,160
"34","12:30",1.9,42,373,125,158
"35","12:53",1.9,43,374,135,164
"36","13:06",2,43,364,139,164
"37","13:29",2,41,338,136,164
"38","13:41",2.1,37,317,128,166
"39","13:55",2.1,32,327,124,164
"40","14:14",2.2,32,325,119,164
"41","14:25",2.2,30,319,117,164
"42","14:45",2.3,28,322,118,162
"43","14:57",2.3,27,329,116,166
"44","15:18",2.4,26,333,117,164
"45","15:33",2.4,25,343,116,164
"46","15:47",2.4,24,339,121,156
"47","16:01",2.5,23,337,120,156
"48","16:18",2.5,19,338,119,164
"49","16:36",2.6,18,348,113,156
"50","16:52",2.6,16,341,94,160
"51","17:06",2.7,15,342,112,158
"52","17:29",2.7,13,345,121,164
"53","17:44",2.8,12,345,125,164
"54","17:59",2.8,11,343,126,162
"55","18:14",2.9,11,317,122,156
"56","18:30",2.9,10,319,123,152
"57","18:53",3,10,319,130,162
"58","19:09",3,10,364,132,162
"59","19:24",3.1,10,349,134,164
"60","19:39",3.1,10,343,133,162
"61","19:55",3.2,10,313,130,164
"62","20:11",3.2,9,312,129,168
"63","20:34",3.3,7,310,130,162
"64","20:49",3.3,5,349,132,164
"65","21:02",3.3,4,313,133,164
"66","21:24",3.4,5,321,129,158
"67","21:37",3.5,6,309,129,172
"68","21:51",3.5,8,330,129,168
"69","22:09",3.5,10,310,127,166
"70","22:24",3.6,11,313,128,166
"71","22:40",3.6,12,363,135,166
"72","23:01",3.7,12,316,142,166
"73","23:17",3.7,12,315,138,166
"74","23:32",3.8,11,310,134,164
"75","23:47",3.8,10,333,135,162
"76","24:01",3.9,9,339,132,172
"77","24:24",3.9,12,364,134,158
"78","24:39",4,14,370,135,162
"79","24:55",4,16,380,136,162
"80","25:18",4.1,20,389,138,160
"81","25:35",4.1,22,390,140,156
"82","25:51",4.2,24,395,144,162
"83","26:15",4.2,27,376,141,158
"84","26:30",4.3,28,317,143,166
"85","26:46",4.3,29,313,143,162
"86","27:01",4.4,27,347,141,160
"87","27:18",4.4,24,323,135,168
"88","27:36",4.5,21,323,127,166
"89","27:51",4.5,19,329,125,160
"90","28:05",4.5,16,331,122,166
"91","28:19",4.6,14,322,120,164
"92","28:39",4.7,12,323,121,164
"93","28:54",4.7,7,320,122,166
"94","29:08",4.7,5,316,121,162
"95","29:22",4.8,5,330,121,166
"96","29:40",4.8,5,340,124,166
"97","29:54",4.9,5,339,127,164
"98","30:08",4.9,7,364,127,164
"99","30:29",5,12,394,130,158
"100","30:48",5,14,432,139,158
"101","31:12",5.1,18,423,144,158
"102","31:29",5.1,22,375,143,160
"103","31:54",5.2,27,392,143,158
"104","32:10",5.2,31,374,145,162
