"","time","distance","elevation","pace","heartrate","cadence"
"1","1:05",0.1,36,317,121,164
"2","1:12",0.2,32,320,122,158
"3","1:22",0.2,30,344,128,162
"4","1:33",0.2,29,364,133,158
"5","1:49",0.3,28,340,129,160
"6","1:56",0.3,29,338,125,162
"7","2:11",0.3,32,341,119,166
"8","2:19",0.4,33,313,117,170
"9","2:32",0.4,32,346,107,164
"10","2:46",0.4,25,311,110,168
"11","2:54",0.5,23,314,111,164
"12","3:13",0.5,22,384,120,168
"13","3:21",0.5,23,397,117,162
"14","3:38",0.6,27,401,105,164
"15","3:47",0.6,29,394,113,164
"16","4:04",0.6,28,376,102,162
"17","4:17",0.7,31,375,108,162
"18","4:24",0.7,34,385,132,166
"19","4:41",0.7,39,379,135,168
"20","4:52",0.8,36,377,134,170
"21","5:03",0.8,32,318,138,166
"22","5:14",0.8,33,346,132,164
"23","5:26",0.9,42,319,131,166
"24","5:42",0.9,45,375,129,166
"25","5:56",0.9,29,405,105,162
"26","6:11",1,23,389,110,164
"27","6:18",1,20,388,113,162
"28","6:32",1,16,385,126,166
"29","6:45",1.1,13,390,126,164
"30","6:57",1.1,11,399,121,174
"31","7:14",1.1,10,401,118,172
"32","7:23",1.2,11,405,116,164
"33","7:39",1.2,12,404,129,166
"34","7:57",1.2,12,403,130,166
"35","8:07",1.3,9,398,135,168
"36","8:24",1.3,7,397,138,170
"37","8:30",1.3,7,395,132,166
"38","8:46",1.4,10,397,132,166
"39","9:03",1.4,10,405,135,168
"40","9:11",1.4,10,375,135,174
"41","9:29",1.5,9,372,133,166
"42","9:46",1.5,8,375,134,166
"43","9:55",1.5,8,372,135,168
"44","10:13",1.6,8,375,132,164
"45","10:20",1.6,8,377,129,162
"46","10:36",1.6,9,371,133,162
"47","10:52",1.7,10,407,134,160
"48","11:00",1.7,10,403,133,166
"49","11:17",1.7,12,395,134,168
"50","11:31",1.8,16,393,134,166
"51","11:47",1.8,20,390,137,166
"52","11:55",1.8,23,389,137,166
"53","12:11",1.9,26,392,139,170
"54","12:19",1.9,27,396,140,176
"55","12:37",1.9,30,405,139,166
"56","12:49",2,31,373,138,162
