time,distance,elevation,pace,heartrate,cadence
10:49,"2,2 km",21 m,4:51/km,121 bpm,172 ppm
10:56,"2,2 km",21 m,4:53/km,124 bpm,172 ppm
11:01,"2,2 km",20 m,4:56/km,130 bpm,174 ppm
11:08,"2,2 km",20 m,5:10/km,128 bpm,170 ppm
11:16,"2,2 km",21 m,5:31/km,123 bpm,170 ppm
11:24,"2,3 km",21 m,5:29/km,122 bpm,170 ppm
11:32,"2,3 km",21 m,5:09/km,122 bpm,170 ppm
11:39,"2,3 km",22 m,4:52/km,124 bpm,172 ppm
11:45,"2,3 km",22 m,4:47/km,127 bpm,170 ppm
11:51,"2,4 km",22 m,4:51/km,129 bpm,170 ppm
11:58,"2,4 km",21 m,4:56/km,131 bpm,172 ppm
12:06,"2,4 km",21 m,4:59/km,132 bpm,170 ppm
12:12,"2,4 km",21 m,4:55/km,129 bpm,172 ppm
12:19,"2,5 km",21 m,4:49/km,126 bpm,172 ppm
12:25,"2,5 km",22 m,4:52/km,125 bpm,172 ppm
12:32,"2,5 km",22 m,4:54/km,122 bpm,172 ppm
12:39,"2,5 km",22 m,4:52/km,122 bpm,172 ppm
12:46,"2,5 km",22 m,4:55/km,123 bpm,170 ppm
12:52,"2,6 km",23 m,4:47/km,123 bpm,172 ppm
12:58,"2,6 km",23 m,4:49/km,124 bpm,172 ppm
13:05,"2,6 km",23 m,4:53/km,125 bpm,172 ppm
13:12,"2,6 km",23 m,5:00/km,125 bpm,170 ppm
13:19,"2,7 km",23 m,5:10/km,125 bpm,172 ppm
13:26,"2,7 km",23 m,5:10/km,125 bpm,172 ppm
13:33,"2,7 km",23 m,5:06/km,126 bpm,170 ppm
13:40,"2,7 km",23 m,4:57/km,127 bpm,172 ppm
13:47,"2,7 km",24 m,5:01/km,127 bpm,172 ppm
13:53,"2,8 km",24 m,4:58/km,125 bpm,172 ppm
14:01,"2,8 km",25 m,4:50/km,124 bpm,170 ppm
14:08,"2,8 km",25 m,5:00/km,123 bpm,170 ppm
14:14,"2,8 km",25 m,5:03/km,122 bpm,170 ppm
14:20,"2,9 km",25 m,4:54/km,123 bpm,170 ppm
14:28,"2,9 km",25 m,5:05/km,123 bpm,172 ppm
14:35,"2,9 km",25 m,5:04/km,126 bpm,170 ppm
14:42,"2,9 km",26 m,4:54/km,128 bpm,170 ppm
14:48,"3,0 km",25 m,5:01/km,127 bpm,170 ppm
14:55,"3,0 km",24 m,5:19/km,125 bpm,172 ppm
15:02,"3,0 km",23 m,5:00/km,122 bpm,170 ppm
15:11,"3,0 km",25 m,4:54/km,121 bpm,176 ppm
15:16,"3,0 km",26 m,4:42/km,121 bpm,174 ppm
15:22,"3,1 km",26 m,4:16/km,122 bpm,178 ppm
15:28,"3,1 km",25 m,4:28/km,124 bpm,174 ppm
15:34,"3,1 km",25 m,4:35/km,122 bpm,174 ppm
15:41,"3,1 km",25 m,4:35/km,122 bpm,174 ppm
15:47,"3,2 km",25 m,4:37/km,124 bpm,174 ppm
15:53,"3,2 km",25 m,4:38/km,126 bpm,174 ppm
16:00,"3,2 km",24 m,4:40/km,126 bpm,176 ppm
16:06,"3,2 km",24 m,4:43/km,125 bpm,174 ppm
16:13,"3,3 km",24 m,4:40/km,124 bpm,174 ppm
16:19,"3,3 km",23 m,4:43/km,125 bpm,174 ppm
16:25,"3,3 km",23 m,4:42/km,126 bpm,172 ppm
16:32,"3,3 km",23 m,4:36/km,127 bpm,172 ppm
16:38,"3,3 km",23 m,4:37/km,128 bpm,178 ppm
16:44,"3,4 km",23 m,4:34/km,129 bpm,178 ppm
16:51,"3,4 km",23 m,4:39/km,129 bpm,174 ppm
