time,distance,elevation,pace,heartrate,cadence
7s,"0,0 km",23 m,5:19/km,91 bpm,170 ppm
17s,"0,0 km",24 m,5:10/km,95 bpm,172 ppm
31s,"0,0 km",25 m,5:57/km,109 bpm,172 ppm
43s,"0,1 km",26 m,5:56/km,118 bpm,174 ppm
58s,"0,1 km",27 m,6:14/km,111 bpm,178 ppm
1:11,"0,2 km",28 m,5:43/km,115 bpm,174 ppm
1:24,"0,2 km",31 m,5:11/km,112 bpm,172 ppm
1:35,"0,2 km",30 m,4:42/km,103 bpm,172 ppm
1:45,"0,3 km",29 m,4:36/km,99 bpm,172 ppm
1:55,"0,3 km",27 m,4:29/km,102 bpm,172 ppm
2:05,"0,3 km",25 m,4:36/km,103 bpm,172 ppm
2:16,"0,4 km",24 m,4:29/km,105 bpm,174 ppm
2:26,"0,4 km",22 m,4:23/km,105 bpm,174 ppm
2:35,"0,5 km",22 m,4:31/km,106 bpm,174 ppm
2:46,"0,5 km",21 m,4:33/km,106 bpm,172 ppm
2:56,"0,5 km",20 m,4:25/km,106 bpm,172 ppm
3:06,"0,6 km",19 m,4:20/km,106 bpm,178 ppm
3:15,"0,6 km",19 m,4:29/km,102 bpm,174 ppm
3:26,"0,6 km",18 m,4:38/km,102 bpm,178 ppm
3:36,"0,7 km",18 m,4:39/km,106 bpm,178 ppm
3:47,"0,7 km",18 m,4:49/km,106 bpm,174 ppm
3:58,"0,8 km",18 m,4:56/km,107 bpm,174 ppm
4:09,"0,8 km",17 m,4:47/km,107 bpm,174 ppm
4:19,"0,8 km",16 m,4:40/km,107 bpm,174 ppm
4:30,"0,9 km",15 m,4:41/km,105 bpm,174 ppm
4:41,"0,9 km",14 m,4:32/km,107 bpm,174 ppm
4:51,"0,9 km",13 m,4:29/km,107 bpm,174 ppm
5:01,"1,0 km",13 m,4:29/km,108 bpm,174 ppm
5:11,"1,0 km",12 m,4:45/km,107 bpm,176 ppm
5:22,"1,1 km",10 m,4:49/km,106 bpm,174 ppm
5:33,"1,1 km",8 m,4:34/km,105 bpm,174 ppm
5:43,"1,1 km",7 m,4:37/km,105 bpm,178 ppm
5:53,"1,2 km",6 m,4:40/km,101 bpm,174 ppm
6:04,"1,2 km",5 m,4:19/km,100 bpm,174 ppm
6:13,"1,2 km",4 m,3:55/km,101 bpm,174 ppm
6:22,"1,3 km",3 m,3:56/km,102 bpm,176 ppm
6:31,"1,3 km",1 m,4:03/km,103 bpm,176 ppm
6:40,"1,4 km",1 m,4:07/km,103 bpm,178 ppm
6:49,"1,4 km",2 m,4:07/km,104 bpm,176 ppm
6:58,"1,4 km",2 m,4:12/km,105 bpm,178 ppm
7:08,"1,5 km",2 m,4:11/km,107 bpm,174 ppm
7:17,"1,5 km",3 m,4:03/km,111 bpm,174 ppm
7:27,"1,5 km",4 m,4:04/km,117 bpm,176 ppm
7:35,"1,6 km",5 m,4:49/km,119 bpm,178 ppm
7:49,"1,6 km",6 m,4:59/km,118 bpm,178 ppm
7:57,"1,7 km",7 m,4:18/km,115 bpm,180 ppm
8:08,"1,7 km",9 m,4:41/km,112 bpm,174 ppm
8:19,"1,7 km",12 m,4:38/km,112 bpm,174 ppm
8:29,"1,8 km",12 m,5:01/km,110 bpm,174 ppm
8:41,"1,8 km",12 m,5:32/km,110 bpm,178 ppm
8:54,"1,8 km",16 m,6:08/km,113 bpm,180 ppm
9:09,"1,9 km",21 m,5:37/km,108 bpm,174 ppm
9:21,"1,9 km",25 m,4:53/km,108 bpm,174 ppm
9:31,"2,0 km",26 m,4:47/km,110 bpm,174 ppm
9:42,"2,0 km",27 m,4:44/km,109 bpm,174 ppm
9:53,"2,0 km",28 m,4:42/km,109 bpm,174 ppm
10:02,"2,1 km",28 m,4:22/km,118 bpm,174 ppm
10:12,"2,1 km",28 m,4:36/km,118 bpm,174 ppm
10:23,"2,1 km",28 m,4:32/km,117 bpm,178 ppm
10:33,"2,2 km",29 m,4:28/km,117 bpm,174 ppm
10:43,"2,2 km",31 m,4:25/km,118 bpm,174 ppm
10:53,"2,3 km",32 m,4:41/km,119 bpm,174 ppm
11:04,"2,3 km",31 m,4:51/km,123 bpm,174 ppm
11:15,"2,3 km",30 m,4:36/km,121 bpm,178 ppm
11:26,"2,4 km",29 m,4:37/km,117 bpm,178 ppm
11:35,"2,4 km",29 m,4:41/km,116 bpm,178 ppm
11:47,"2,4 km",29 m,4:52/km,118 bpm,178 ppm
11:57,"2,5 km",29 m,4:30/km,118 bpm,174 ppm
12:07,"2,5 km",30 m,4:27/km,107 bpm,176 ppm
12:17,"2,6 km",32 m,4:36/km,106 bpm,174 ppm
12:28,"2,6 km",34 m,4:47/km,107 bpm,174 ppm
12:39,"2,6 km",37 m,4:48/km,108 bpm,174 ppm
12:49,"2,7 km",40 m,4:37/km,110 bpm,174 ppm
13:00,"2,7 km",41 m,4:17/km,110 bpm,172 ppm
13:09,"2,7 km",41 m,4:21/km,109 bpm,178 ppm
13:19,"2,8 km",43 m,4:22/km,108 bpm,174 ppm
13:29,"2,8 km",43 m,4:23/km,108 bpm,174 ppm
13:38,"2,9 km",43 m,4:15/km,108 bpm,178 ppm
13:48,"2,9 km",45 m,4:48/km,109 bpm,174 ppm
14:00,"2,9 km",44 m,4:54/km,110 bpm,174 ppm
14:12,"3,0 km",44 m,4:29/km,108 bpm,174 ppm
14:20,"3,0 km",42 m,4:02/km,108 bpm,178 ppm
14:30,"3,1 km",38 m,4:04/km,114 bpm,174 ppm
