time,distance,elevation,pace,heartrate,cadence
6s,"0,0 km",42 m,6:58/km,100 bpm,174 ppm
13s,"0,0 km",42 m,6:58/km,100 bpm,174 ppm
21s,"0,0 km",41 m,6:58/km,108 bpm,178 ppm
28s,"0,0 km",41 m,6:29/km,110 bpm,172 ppm
37s,"0,0 km",40 m,6:17/km,113 bpm,172 ppm
43s,"0,1 km",39 m,6:15/km,117 bpm,172 ppm
49s,"0,1 km",39 m,6:13/km,118 bpm,170 ppm
55s,"0,1 km",39 m,6:13/km,116 bpm,170 ppm
1:02,"0,1 km",39 m,6:17/km,114 bpm,170 ppm
1:10,"0,1 km",39 m,6:15/km,114 bpm,170 ppm
1:18,"0,1 km",39 m,6:27/km,112 bpm,172 ppm
1:23,"0,2 km",39 m,6:26/km,110 bpm,170 ppm
1:30,"0,2 km",40 m,5:57/km,109 bpm,170 ppm
1:38,"0,2 km",40 m,5:50/km,111 bpm,172 ppm
1:44,"0,2 km",41 m,5:50/km,110 bpm,170 ppm
1:50,"0,2 km",41 m,5:52/km,111 bpm,172 ppm
1:56,"0,3 km",41 m,5:46/km,112 bpm,170 ppm
2:02,"0,3 km",42 m,5:51/km,113 bpm,170 ppm
2:09,"0,3 km",42 m,5:49/km,113 bpm,172 ppm
2:16,"0,3 km",42 m,5:50/km,113 bpm,172 ppm
2:22,"0,3 km",42 m,5:57/km,114 bpm,170 ppm
2:28,"0,3 km",42 m,5:46/km,117 bpm,170 ppm
2:34,"0,4 km",41 m,5:40/km,120 bpm,178 ppm
2:41,"0,4 km",40 m,5:43/km,122 bpm,172 ppm
2:47,"0,4 km",39 m,5:42/km,122 bpm,170 ppm
2:53,"0,4 km",39 m,5:43/km,123 bpm,170 ppm
3:00,"0,4 km",39 m,5:59/km,123 bpm,170 ppm
3:05,"0,5 km",39 m,5:55/km,123 bpm,170 ppm
3:12,"0,5 km",39 m,5:48/km,124 bpm,170 ppm
3:20,"0,5 km",39 m,5:55/km,126 bpm,166 ppm
3:26,"0,5 km",40 m,5:57/km,125 bpm,168 ppm
3:32,"0,5 km",40 m,5:43/km,124 bpm,168 ppm
3:38,"0,5 km",41 m,5:37/km,124 bpm,166 ppm
3:44,"0,6 km",41 m,5:44/km,123 bpm,164 ppm
3:51,"0,6 km",41 m,5:53/km,123 bpm,168 ppm
3:57,"0,6 km",41 m,6:02/km,122 bpm,168 ppm
4:04,"0,6 km",42 m,5:57/km,120 bpm,168 ppm
4:11,"0,6 km",42 m,5:51/km,117 bpm,168 ppm
4:18,"0,7 km",42 m,6:01/km,115 bpm,172 ppm
4:23,"0,7 km",42 m,5:56/km,115 bpm,170 ppm
4:29,"0,7 km",41 m,5:40/km,115 bpm,172 ppm
4:37,"0,7 km",40 m,5:32/km,115 bpm,170 ppm
4:43,"0,7 km",39 m,5:39/km,115 bpm,170 ppm
4:48,"0,7 km",39 m,5:40/km,114 bpm,170 ppm
4:54,"0,8 km",39 m,5:41/km,112 bpm,160 ppm
5:00,"0,8 km",39 m,5:42/km,111 bpm,162 ppm
5:07,"0,8 km",39 m,5:42/km,110 bpm,170 ppm
5:14,"0,8 km",39 m,5:42/km,113 bpm,172 ppm
5:20,"0,8 km",40 m,5:32/km,115 bpm,172 ppm
5:26,"0,9 km",40 m,5:32/km,115 bpm,172 ppm
5:31,"0,9 km",40 m,5:30/km,116 bpm,166 ppm
5:37,"0,9 km",41 m,5:30/km,116 bpm,164 ppm
5:44,"0,9 km",41 m,5:28/km,117 bpm,168 ppm
5:50,"0,9 km",41 m,5:37/km,124 bpm,172 ppm
5:56,"1,0 km",42 m,5:40/km,126 bpm,172 ppm
6:01,"1,0 km",42 m,5:26/km,130 bpm,172 ppm
6:08,"1,0 km",42 m,5:26/km,136 bpm,172 ppm
6:14,"1,0 km",42 m,5:29/km,137 bpm,170 ppm
6:20,"1,0 km",42 m,5:28/km,134 bpm,172 ppm
6:26,"1,0 km",41 m,5:12/km,132 bpm,170 ppm
6:32,"1,1 km",40 m,5:11/km,129 bpm,170 ppm
6:37,"1,1 km",39 m,5:11/km,128 bpm,170 ppm
6:43,"1,1 km",39 m,5:10/km,127 bpm,170 ppm
