time,distance,elevation,pace,heartrate,cadence
10s,"0,0 km",4 m,5:09/km,89 bpm,166 ppm
23s,"0,0 km",4 m,4:41/km,104 bpm,170 ppm
38s,"0,1 km",3 m,5:01/km,116 bpm,168 ppm
53s,"0,1 km",2 m,5:11/km,119 bpm,172 ppm
1:08,"0,2 km",3 m,5:18/km,121 bpm,168 ppm
1:24,"0,2 km",5 m,4:47/km,123 bpm,172 ppm
1:36,"0,3 km",6 m,4:53/km,122 bpm,168 ppm
1:52,"0,3 km",4 m,6:05/km,122 bpm,168 ppm
2:12,"0,4 km",5 m,6:17/km,124 bpm,168 ppm
2:29,"0,4 km",2 m,5:14/km,128 bpm,172 ppm
2:43,"0,5 km",3 m,4:45/km,140 bpm,170 ppm
2:57,"0,5 km",4 m,4:46/km,137 bpm,172 ppm
3:11,"0,6 km",5 m,4:40/km,132 bpm,172 ppm
3:24,"0,6 km",7 m,4:53/km,130 bpm,168 ppm
3:39,"0,7 km",9 m,5:19/km,129 bpm,172 ppm
3:55,"0,7 km",12 m,5:36/km,125 bpm,176 ppm
4:12,"0,8 km",16 m,5:37/km,134 bpm,172 ppm
4:29,"0,8 km",20 m,5:28/km,143 bpm,172 ppm
4:44,"0,9 km",23 m,5:04/km,148 bpm,172 ppm
4:58,"0,9 km",23 m,4:32/km,148 bpm,172 ppm
5:11,"1,0 km",20 m,4:24/km,142 bpm,174 ppm
5:24,"1,0 km",18 m,4:30/km,139 bpm,174 ppm
5:37,"1,0 km",15 m,4:28/km,132 bpm,174 ppm
5:50,"1,1 km",13 m,4:18/km,130 bpm,174 ppm
6:02,"1,1 km",10 m,4:12/km,128 bpm,174 ppm
6:15,"1,2 km",8 m,4:19/km,128 bpm,174 ppm
6:28,"1,2 km",8 m,4:25/km,129 bpm,174 ppm
6:40,"1,3 km",7 m,4:36/km,128 bpm,174 ppm
6:54,"1,3 km",6 m,4:30/km,127 bpm,174 ppm
7:07,"1,4 km",5 m,4:12/km,126 bpm,176 ppm
7:19,"1,4 km",6 m,4:16/km,129 bpm,176 ppm
7:32,"1,5 km",3 m,4:25/km,130 bpm,168 ppm
