time,distance,elevation,pace,heartrate,cadence
6s,"0,0 km",24 m,4:33/km,104 bpm,174 ppm
18s,"0,0 km",25 m,4:35/km,109 bpm,174 ppm
30s,"0,1 km",26 m,4:58/km,113 bpm,182 ppm
44s,"0,1 km",27 m,6:06/km,132 bpm,180 ppm
1:04,"0,1 km",28 m,5:54/km,136 bpm,178 ppm
1:17,"0,2 km",31 m,4:52/km,137 bpm,180 ppm
1:29,"0,2 km",30 m,4:40/km,139 bpm,174 ppm
1:42,"0,3 km",27 m,4:38/km,137 bpm,178 ppm
1:54,"0,3 km",26 m,4:37/km,131 bpm,180 ppm
2:06,"0,4 km",24 m,4:37/km,123 bpm,178 ppm
2:18,"0,4 km",22 m,4:38/km,120 bpm,176 ppm
2:31,"0,5 km",21 m,4:45/km,119 bpm,182 ppm
2:43,"0,5 km",21 m,4:34/km,121 bpm,180 ppm
2:55,"0,5 km",19 m,4:23/km,120 bpm,180 ppm
3:06,"0,6 km",19 m,4:17/km,119 bpm,180 ppm
3:17,"0,6 km",18 m,4:21/km,120 bpm,178 ppm
3:29,"0,7 km",18 m,4:18/km,125 bpm,182 ppm
3:40,"0,7 km",18 m,4:33/km,123 bpm,180 ppm
3:53,"0,8 km",17 m,4:50/km,127 bpm,178 ppm
4:06,"0,8 km",16 m,4:47/km,130 bpm,178 ppm
4:18,"0,9 km",16 m,4:47/km,128 bpm,174 ppm
4:31,"0,9 km",14 m,4:42/km,125 bpm,178 ppm
4:43,"0,9 km",13 m,4:32/km,124 bpm,180 ppm
4:55,"1,0 km",12 m,4:37/km,131 bpm,180 ppm
5:06,"1,0 km",13 m,4:52/km,133 bpm,180 ppm
5:20,"1,1 km",16 m,5:38/km,135 bpm,180 ppm
5:36,"1,1 km",19 m,5:44/km,139 bpm,182 ppm
5:51,"1,2 km",20 m,5:08/km,142 bpm,180 ppm
6:03,"1,2 km",21 m,4:30/km,147 bpm,176 ppm
6:15,"1,2 km",22 m,4:25/km,148 bpm,182 ppm
6:26,"1,3 km",23 m,4:40/km,148 bpm,182 ppm
6:40,"1,3 km",26 m,5:17/km,146 bpm,184 ppm
6:54,"1,4 km",29 m,5:13/km,146 bpm,180 ppm
7:07,"1,4 km",32 m,5:05/km,149 bpm,180 ppm
7:21,"1,5 km",33 m,4:52/km,149 bpm,180 ppm
7:33,"1,5 km",35 m,4:45/km,148 bpm,180 ppm
7:46,"1,6 km",38 m,4:44/km,148 bpm,180 ppm
7:58,"1,6 km",41 m,4:43/km,148 bpm,180 ppm
8:10,"1,6 km",44 m,5:02/km,148 bpm,180 ppm
8:25,"1,7 km",45 m,5:00/km,150 bpm,176 ppm
8:36,"1,7 km",45 m,4:43/km,148 bpm,182 ppm
8:49,"1,8 km",44 m,4:58/km,148 bpm,180 ppm
9:03,"1,8 km",43 m,4:51/km,149 bpm,182 ppm
9:15,"1,9 km",42 m,4:40/km,146 bpm,180 ppm
9:27,"1,9 km",41 m,4:20/km,145 bpm,178 ppm
9:38,"1,9 km",40 m,4:23/km,144 bpm,178 ppm
9:50,"2,0 km",39 m,4:31/km,140 bpm,174 ppm
10:02,"2,0 km",36 m,4:29/km,138 bpm,180 ppm
10:13,"2,1 km",32 m,4:50/km,137 bpm,182 ppm
10:28,"2,1 km",24 m,4:47/km,133 bpm,180 ppm
10:38,"2,2 km",20 m,4:25/km,135 bpm,176 ppm
10:50,"2,2 km",17 m,4:23/km,135 bpm,178 ppm
11:01,"2,3 km",17 m,4:11/km,132 bpm,190 ppm
11:12,"2,3 km",19 m,4:24/km,128 bpm,190 ppm
11:24,"2,3 km",13 m,4:40/km,126 bpm,180 ppm
11:37,"2,4 km",14 m,5:08/km,129 bpm,186 ppm
11:51,"2,4 km",12 m,5:09/km,135 bpm,180 ppm
12:05,"2,5 km",15 m,4:56/km,133 bpm,180 ppm
12:16,"2,5 km",18 m,5:12/km,139 bpm,184 ppm
12:34,"2,6 km",24 m,6:30/km,146 bpm,182 ppm
12:50,"2,6 km",28 m,6:07/km,155 bpm,180 ppm
13:06,"2,6 km",36 m,5:17/km,156 bpm,180 ppm
13:19,"2,7 km",36 m,4:37/km,158 bpm,174 ppm
13:30,"2,7 km",37 m,4:15/km,157 bpm,174 ppm
13:42,"2,8 km",38 m,4:25/km,156 bpm,174 ppm
13:53,"2,8 km",40 m,4:16/km,154 bpm,176 ppm
14:04,"2,9 km",41 m,4:08/km,151 bpm,178 ppm
14:15,"2,9 km",41 m,4:05/km,149 bpm,178 ppm
14:26,"3,0 km",41 m,4:11/km,146 bpm,174 ppm
14:37,"3,0 km",41 m,4:15/km,143 bpm,178 ppm
14:48,"3,0 km",41 m,4:28/km,141 bpm,178 ppm
15:00,"3,1 km",43 m,4:33/km,143 bpm,180 ppm
15:13,"3,1 km",46 m,4:19/km,144 bpm,180 ppm
15:23,"3,2 km",45 m,3:56/km,145 bpm,178 ppm
15:33,"3,2 km",44 m,3:53/km,150 bpm,178 ppm
15:44,"3,3 km",43 m,3:59/km,151 bpm,178 ppm
15:54,"3,3 km",43 m,4:07/km,144 bpm,180 ppm
16:05,"3,3 km",44 m,4:19/km,142 bpm,180 ppm
16:17,"3,4 km",45 m,4:16/km,142 bpm,180 ppm
16:28,"3,4 km",47 m,4:16/km,140 bpm,178 ppm
16:39,"3,5 km",47 m,4:34/km,145 bpm,180 ppm
