time,distance,elevation,pace,heartrate,cadence
18:54,"4,3 km",5 m,3:53/km,121 bpm,172 ppm
19:05,"4,3 km",5 m,4:06/km,122 bpm,172 ppm
19:17,"4,4 km",6 m,4:06/km,122 bpm,176 ppm
19:27,"4,4 km",6 m,4:12/km,125 bpm,174 ppm
19:39,"4,5 km",4 m,4:09/km,132 bpm,174 ppm
19:50,"4,5 km",3 m,4:05/km,132 bpm,174 ppm
20:01,"4,6 km",4 m,4:03/km,131 bpm,174 ppm
20:12,"4,6 km",4 m,4:00/km,128 bpm,172 ppm
20:23,"4,7 km",5 m,4:01/km,127 bpm,170 ppm
20:34,"4,7 km",5 m,4:00/km,124 bpm,172 ppm
20:44,"4,7 km",5 m,4:11/km,124 bpm,172 ppm
20:56,"4,8 km",6 m,4:06/km,124 bpm,174 ppm
21:07,"4,8 km",5 m,4:05/km,124 bpm,178 ppm
21:18,"4,9 km",3 m,4:08/km,124 bpm,174 ppm
21:29,"4,9 km",3 m,3:58/km,125 bpm,170 ppm
21:40,"5,0 km",4 m,3:55/km,126 bpm,172 ppm
21:50,"5,0 km",5 m,3:45/km,126 bpm,170 ppm
22:00,"5,1 km",5 m,3:53/km,126 bpm,170 ppm
22:11,"5,1 km",5 m,3:58/km,126 bpm,172 ppm
22:22,"5,2 km",6 m,4:06/km,124 bpm,178 ppm
22:33,"5,2 km",6 m,4:03/km,110 bpm,174 ppm
22:43,"5,2 km",5 m,3:54/km,107 bpm,178 ppm
22:54,"5,3 km",4 m,3:54/km,108 bpm,174 ppm
23:05,"5,3 km",4 m,3:48/km,109 bpm,174 ppm
23:15,"5,4 km",4 m,3:49/km,108 bpm,174 ppm
23:25,"5,4 km",5 m,3:49/km,109 bpm,178 ppm
23:35,"5,5 km",5 m,3:54/km,112 bpm,174 ppm
23:46,"5,5 km",5 m,4:02/km,108 bpm,174 ppm
23:58,"5,6 km",7 m,4:06/km,110 bpm,178 ppm
24:08,"5,6 km",6 m,4:02/km,112 bpm,174 ppm
24:19,"5,6 km",4 m,3:45/km,113 bpm,174 ppm
24:29,"5,7 km",3 m,3:48/km,115 bpm,174 ppm
24:40,"5,7 km",4 m,4:02/km,115 bpm,178 ppm
24:51,"5,8 km",4 m,4:04/km,107 bpm,174 ppm
25:02,"5,8 km",5 m,3:47/km,103 bpm,178 ppm
25:11,"5,9 km",4 m,3:44/km,105 bpm,170 ppm
25:21,"5,9 km",5 m,3:55/km,111 bpm,170 ppm
25:33,"6,0 km",6 m,4:03/km,113 bpm,170 ppm
25:43,"6,0 km",6 m,4:01/km,111 bpm,170 ppm
25:54,"6,1 km",4 m,3:51/km,113 bpm,172 ppm
26:04,"6,1 km",3 m,3:49/km,113 bpm,172 ppm
26:15,"6,1 km",4 m,3:56/km,115 bpm,172 ppm
26:25,"6,2 km",4 m,3:57/km,115 bpm,174 ppm
26:36,"6,2 km",5 m,3:51/km,113 bpm,174 ppm
26:46,"6,3 km",4 m,3:53/km,114 bpm,174 ppm
26:57,"6,3 km",6 m,4:13/km,136 bpm,172 ppm
27:09,"6,4 km",6 m,4:09/km,137 bpm,172 ppm
27:20,"6,4 km",5 m,3:54/km,136 bpm,176 ppm
27:30,"6,5 km",3 m,3:59/km,135 bpm,174 ppm
27:41,"6,5 km",3 m,3:59/km,137 bpm,174 ppm
27:52,"6,5 km",4 m,4:02/km,138 bpm,174 ppm
28:03,"6,6 km",5 m,3:54/km,138 bpm,174 ppm
28:13,"6,6 km",4 m,3:53/km,138 bpm,174 ppm
28:24,"6,7 km",5 m,3:58/km,139 bpm,174 ppm
28:35,"6,7 km",6 m,4:00/km,136 bpm,174 ppm
28:46,"6,8 km",6 m,4:02/km,136 bpm,172 ppm
28:56,"6,8 km",4 m,3:58/km,134 bpm,172 ppm
29:07,"6,9 km",3 m,4:00/km,133 bpm,170 ppm
29:18,"6,9 km",3 m,3:54/km,132 bpm,172 ppm
29:28,"7,0 km",4 m,3:54/km,132 bpm,174 ppm
29:39,"7,0 km",5 m,3:53/km,132 bpm,176 ppm
29:49,"7,0 km",4 m,3:56/km,134 bpm,172 ppm
30:00,"7,1 km",5 m,4:05/km,134 bpm,172 ppm
30:12,"7,1 km",6 m,4:06/km,133 bpm,174 ppm
30:22,"7,2 km",5 m,4:00/km,134 bpm,176 ppm
30:33,"7,2 km",3 m,3:59/km,136 bpm,170 ppm
30:44,"7,3 km",3 m,3:55/km,137 bpm,170 ppm
30:55,"7,3 km",4 m,4:03/km,136 bpm,174 ppm
31:05,"7,4 km",4 m,4:02/km,136 bpm,170 ppm
31:17,"7,4 km",4 m,3:57/km,134 bpm,172 ppm
31:27,"7,5 km",4 m,3:56/km,134 bpm,170 ppm
31:38,"7,5 km",6 m,3:58/km,134 bpm,174 ppm
31:48,"7,5 km",5 m,4:03/km,134 bpm,174 ppm
31:59,"7,6 km",4 m,4:04/km,137 bpm,174 ppm
32:11,"7,6 km",3 m,4:06/km,136 bpm,174 ppm
32:21,"7,7 km",3 m,3:54/km,137 bpm,172 ppm
32:32,"7,7 km",4 m,4:00/km,139 bpm,172 ppm
32:43,"7,8 km",5 m,4:00/km,139 bpm,172 ppm
32:53,"7,8 km",4 m,3:54/km,137 bpm,170 ppm
33:04,"7,9 km",5 m,3:53/km,136 bpm,170 ppm
33:14,"7,9 km",6 m,3:55/km,135 bpm,170 ppm
33:25,"7,9 km",5 m,4:08/km,135 bpm,172 ppm
33:37,"8,0 km",3 m,4:02/km,137 bpm,172 ppm
33:47,"8,0 km",3 m,3:58/km,137 bpm,172 ppm
33:58,"8,1 km",3 m,3:56/km,134 bpm,178 ppm
34:08,"8,1 km",4 m,3:44/km,135 bpm,174 ppm
34:18,"8,2 km",5 m,3:45/km,138 bpm,174 ppm
34:28,"8,2 km",4 m,3:49/km,141 bpm,172 ppm
34:39,"8,3 km",5 m,4:07/km,139 bpm,172 ppm
34:50,"8,3 km",5 m,4:05/km,136 bpm,172 ppm
35:01,"8,4 km",5 m,4:06/km,135 bpm,176 ppm
35:13,"8,4 km",3 m,3:56/km,134 bpm,174 ppm
35:22,"8,4 km",3 m,3:46/km,136 bpm,174 ppm
35:33,"8,5 km",3 m,3:55/km,140 bpm,174 ppm
35:43,"8,5 km",4 m,3:53/km,142 bpm,174 ppm
35:54,"8,6 km",5 m,3:57/km,140 bpm,174 ppm
36:05,"8,6 km",5 m,4:01/km,138 bpm,172 ppm
36:16,"8,7 km",6 m,4:19/km,139 bpm,172 ppm
36:28,"8,7 km",7 m,4:22/km,135 bpm,172 ppm
36:39,"8,8 km",7 m,4:41/km,131 bpm,172 ppm
36:54,"8,8 km",6 m,5:19/km,128 bpm,178 ppm
37:08,"8,8 km",6 m,4:35/km,129 bpm,174 ppm
37:19,"8,9 km",6 m,4:06/km,131 bpm,174 ppm
37:30,"8,9 km",4 m,4:06/km,133 bpm,178 ppm
37:41,"9,0 km",3 m,4:07/km,133 bpm,174 ppm
37:53,"9,0 km",2 m,4:19/km,134 bpm,174 ppm
38:04,"9,1 km",3 m,4:18/km,133 bpm,174 ppm
38:16,"9,1 km",5 m,4:04/km,134 bpm,174 ppm
38:26,"9,2 km",4 m,4:00/km,133 bpm,178 ppm
38:38,"9,2 km",4 m,4:06/km,136 bpm,178 ppm
38:49,"9,3 km",5 m,4:02/km,135 bpm,178 ppm
38:59,"9,3 km",5 m,4:15/km,133 bpm,176 ppm
39:12,"9,3 km",5 m,4:20/km,134 bpm,178 ppm
39:23,"9,4 km",5 m,4:10/km,135 bpm,174 ppm
39:34,"9,4 km",6 m,4:08/km,132 bpm,174 ppm
39:45,"9,5 km",6 m,4:10/km,131 bpm,174 ppm
39:56,"9,5 km",6 m,4:03/km,130 bpm,178 ppm
40:07,"9,6 km",6 m,4:06/km,128 bpm,174 ppm
40:19,"9,6 km",6 m,4:18/km,130 bpm,176 ppm
40:30,"9,7 km",6 m,4:25/km,136 bpm,174 ppm
40:43,"9,7 km",6 m,4:08/km,141 bpm,174 ppm
40:53,"9,7 km",6 m,4:09/km,141 bpm,178 ppm
41:05,"9,8 km",6 m,4:05/km,140 bpm,174 ppm
41:15,"9,8 km",6 m,3:54/km,137 bpm,178 ppm
41:26,"9,9 km",6 m,3:56/km,132 bpm,174 ppm
41:37,"9,9 km",6 m,4:08/km,133 bpm,176 ppm
41:48,"10,0 km",6 m,3:56/km,132 bpm,174 ppm
41:58,"10,0 km",5 m,3:38/km,132 bpm,174 ppm
42:08,"10,1 km",4 m,3:48/km,133 bpm,178 ppm
42:18,"10,1 km",5 m,3:56/km,135 bpm,178 ppm
42:29,"10,1 km",3 m,3:58/km,137 bpm,174 ppm
42:39,"10,2 km",0 m,3:43/km,140 bpm,178 ppm
42:49,"10,2 km",0 m,3:58/km,139 bpm,178 ppm
43:01,"10,3 km",1 m,4:01/km,136 bpm,178 ppm
43:11,"10,3 km",3 m,4:03/km,134 bpm,174 ppm
43:22,"10,4 km",6 m,4:00/km,135 bpm,174 ppm
43:33,"10,4 km",5 m,4:03/km,135 bpm,180 ppm
43:44,"10,5 km",5 m,4:20/km,133 bpm,178 ppm
43:56,"10,5 km",7 m,4:38/km,132 bpm,174 ppm
44:09,"10,6 km",8 m,4:49/km,137 bpm,178 ppm
44:22,"10,6 km",8 m,4:28/km,141 bpm,176 ppm
44:33,"10,6 km",9 m,4:16/km,140 bpm,182 ppm
44:45,"10,7 km",11 m,4:47/km,137 bpm,174 ppm
45:00,"10,7 km",13 m,4:50/km,140 bpm,176 ppm
45:12,"10,8 km",16 m,4:27/km,138 bpm,178 ppm
45:23,"10,8 km",18 m,4:44/km,143 bpm,178 ppm
45:37,"10,9 km",21 m,5:00/km,142 bpm,178 ppm
45:51,"10,9 km",23 m,4:46/km,144 bpm,182 ppm
46:03,"11,0 km",23 m,4:22/km,146 bpm,180 ppm
46:15,"11,0 km",21 m,4:12/km,143 bpm,178 ppm
46:26,"11,1 km",17 m,4:03/km,140 bpm,178 ppm
46:37,"11,1 km",13 m,3:56/km,135 bpm,178 ppm
46:47,"11,1 km",10 m,4:22/km,130 bpm,178 ppm
47:01,"11,2 km",8 m,4:40/km,124 bpm,172 ppm
47:12,"11,2 km",6 m,4:10/km,122 bpm,172 ppm
47:23,"11,3 km",5 m,4:11/km,126 bpm,178 ppm
47:34,"11,3 km",4 m,4:13/km,128 bpm,174 ppm
47:46,"11,4 km",3 m,4:09/km,129 bpm,174 ppm
47:57,"11,4 km",2 m,4:06/km,130 bpm,176 ppm
48:08,"11,5 km",5 m,4:08/km,133 bpm,178 ppm
48:19,"11,5 km",4 m,4:19/km,130 bpm,176 ppm
48:32,"11,5 km",4 m,4:45/km,126 bpm,174 ppm
48:45,"11,6 km",5 m,4:56/km,126 bpm,174 ppm
48:54,"11,6 km",6 m,4:29/km,127 bpm,168 ppm
49:11,"11,7 km",5 m,4:29/km,129 bpm,176 ppm
49:21,"11,7 km",3 m,4:02/km,126 bpm,178 ppm
49:33,"11,8 km",2 m,4:10/km,128 bpm,176 ppm
49:44,"11,8 km",3 m,4:15/km,130 bpm,174 ppm
49:56,"11,9 km",4 m,4:26/km,130 bpm,174 ppm
50:07,"11,9 km",4 m,4:34/km,131 bpm,176 ppm
