time,distance,elevation,pace,heartrate,cadence
28:41,"7,2 km",1 m,3:41/km,151 bpm,174 ppm
28:57,"7,3 km",1 m,3:39/km,150 bpm,182 ppm
29:14,"7,3 km",1 m,3:41/km,148 bpm,178 ppm
29:31,"7,4 km",1 m,3:52/km,148 bpm,174 ppm
29:48,"7,5 km",2 m,4:01/km,148 bpm,174 ppm
30:06,"7,6 km",1 m,3:39/km,147 bpm,174 ppm
30:23,"7,6 km",2 m,3:48/km,149 bpm,174 ppm
30:40,"7,7 km",1 m,3:55/km,150 bpm,174 ppm
30:58,"7,8 km",2 m,3:37/km,149 bpm,174 ppm
31:13,"7,9 km",2 m,3:41/km,148 bpm,174 ppm
31:30,"7,9 km",1 m,3:41/km,148 bpm,174 ppm
31:47,"8,0 km",1 m,3:54/km,148 bpm,174 ppm
32:04,"8,1 km",1 m,3:44/km,148 bpm,174 ppm
32:22,"8,2 km",1 m,3:55/km,148 bpm,174 ppm
32:39,"8,2 km",1 m,3:55/km,149 bpm,174 ppm
32:57,"8,3 km",2 m,3:50/km,148 bpm,174 ppm
33:14,"8,4 km",3 m,3:50/km,148 bpm,174 ppm
33:31,"8,5 km",3 m,3:49/km,149 bpm,174 ppm
33:49,"8,5 km",3 m,3:56/km,149 bpm,174 ppm
34:06,"8,6 km",3 m,3:45/km,150 bpm,174 ppm
34:23,"8,7 km",3 m,3:53/km,151 bpm,176 ppm
34:41,"8,8 km",2 m,3:51/km,152 bpm,174 ppm
34:58,"8,8 km",2 m,3:44/km,150 bpm,176 ppm
35:15,"8,9 km",2 m,3:45/km,150 bpm,174 ppm
35:32,"9,0 km",3 m,3:45/km,148 bpm,174 ppm
35:49,"9,1 km",3 m,3:50/km,150 bpm,176 ppm
36:06,"9,1 km",3 m,3:46/km,150 bpm,174 ppm
36:23,"9,2 km",3 m,3:49/km,151 bpm,174 ppm
36:40,"9,3 km",3 m,3:44/km,151 bpm,174 ppm
36:56,"9,4 km",3 m,3:53/km,151 bpm,176 ppm
37:14,"9,4 km",3 m,3:56/km,152 bpm,174 ppm
37:31,"9,5 km",4 m,3:45/km,152 bpm,174 ppm
37:48,"9,6 km",4 m,4:00/km,152 bpm,174 ppm
38:06,"9,7 km",4 m,3:54/km,151 bpm,176 ppm
38:23,"9,7 km",4 m,3:39/km,149 bpm,174 ppm
38:39,"9,8 km",4 m,3:26/km,150 bpm,176 ppm
38:55,"9,9 km",3 m,3:51/km,151 bpm,174 ppm
39:13,"10,0 km",3 m,4:25/km,151 bpm,170 ppm
39:32,"10,0 km",3 m,3:11/km,151 bpm,176 ppm
39:48,"10,1 km",3 m,3:42/km,152 bpm,176 ppm
40:05,"10,2 km",4 m,3:49/km,150 bpm,176 ppm
40:22,"10,3 km",4 m,3:47/km,153 bpm,176 ppm
40:39,"10,3 km",4 m,3:51/km,152 bpm,174 ppm
40:57,"10,4 km",4 m,3:44/km,151 bpm,174 ppm
41:13,"10,5 km",3 m,3:44/km,151 bpm,174 ppm
41:30,"10,6 km",3 m,3:41/km,152 bpm,174 ppm
41:46,"10,6 km",3 m,3:42/km,152 bpm,176 ppm
42:04,"10,7 km",3 m,3:50/km,151 bpm,174 ppm
42:20,"10,8 km",3 m,3:56/km,151 bpm,174 ppm
42:39,"10,9 km",3 m,3:52/km,151 bpm,176 ppm
42:55,"10,9 km",3 m,3:42/km,151 bpm,174 ppm
43:12,"11,0 km",2 m,3:46/km,152 bpm,174 ppm
43:29,"11,1 km",2 m,3:35/km,152 bpm,176 ppm
43:44,"11,2 km",2 m,3:37/km,151 bpm,174 ppm
44:01,"11,2 km",3 m,3:41/km,152 bpm,174 ppm
44:18,"11,3 km",3 m,3:53/km,152 bpm,176 ppm
44:36,"11,4 km",3 m,3:44/km,152 bpm,176 ppm
44:53,"11,5 km",3 m,3:40/km,153 bpm,176 ppm
45:09,"11,5 km",3 m,3:42/km,154 bpm,174 ppm
45:26,"11,6 km",2 m,4:02/km,154 bpm,174 ppm
45:44,"11,7 km",1 m,3:47/km,153 bpm,174 ppm
46:01,"11,8 km",1 m,3:50/km,153 bpm,176 ppm
46:19,"11,8 km",2 m,3:52/km,152 bpm,176 ppm
46:36,"11,9 km",1 m,3:48/km,152 bpm,176 ppm
46:53,"12,0 km",1 m,3:50/km,153 bpm,174 ppm
47:10,"12,1 km",2 m,3:58/km,153 bpm,176 ppm
47:28,"12,1 km",2 m,3:25/km,153 bpm,176 ppm
47:42,"12,2 km",1 m,3:27/km,154 bpm,176 ppm
47:59,"12,3 km",2 m,3:49/km,153 bpm,176 ppm
48:16,"12,4 km",1 m,3:46/km,152 bpm,174 ppm
48:33,"12,4 km",2 m,3:43/km,152 bpm,176 ppm
48:50,"12,5 km",1 m,3:41/km,150 bpm,176 ppm
49:07,"12,6 km",1 m,3:45/km,151 bpm,176 ppm
49:24,"12,7 km",1 m,3:50/km,151 bpm,176 ppm
49:41,"12,7 km",1 m,3:52/km,150 bpm,176 ppm
49:59,"12,8 km",1 m,4:00/km,150 bpm,176 ppm
50:17,"12,9 km",1 m,3:53/km,151 bpm,176 ppm
50:34,"13,0 km",1 m,3:53/km,151 bpm,174 ppm
50:52,"13,0 km",1 m,3:43/km,151 bpm,174 ppm
51:08,"13,1 km",1 m,3:42/km,152 bpm,174 ppm
51:25,"13,2 km",1 m,3:41/km,152 bpm,174 ppm
51:42,"13,3 km",1 m,3:55/km,151 bpm,176 ppm
52:00,"13,3 km",1 m,3:45/km,149 bpm,174 ppm
52:16,"13,4 km",1 m,3:40/km,149 bpm,176 ppm
52:34,"13,5 km",1 m,4:00/km,149 bpm,176 ppm
52:52,"13,6 km",1 m,4:08/km,150 bpm,176 ppm
53:10,"13,6 km",2 m,3:53/km,152 bpm,174 ppm
53:27,"13,7 km",2 m,3:51/km,151 bpm,174 ppm
53:44,"13,8 km",1 m,3:46/km,150 bpm,174 ppm
54:01,"13,9 km",4 m,4:10/km,150 bpm,174 ppm
54:20,"13,9 km",9 m,4:09/km,150 bpm,174 ppm
54:38,"14,0 km",7 m,4:00/km,151 bpm,174 ppm
54:56,"14,1 km",5 m,3:26/km,152 bpm,176 ppm
55:10,"14,2 km",4 m,3:24/km,152 bpm,174 ppm
55:27,"14,2 km",3 m,3:50/km,150 bpm,174 ppm
55:44,"14,3 km",3 m,3:50/km,149 bpm,174 ppm
56:01,"14,4 km",3 m,3:41/km,148 bpm,174 ppm
56:18,"14,5 km",3 m,3:53/km,151 bpm,174 ppm
56:36,"14,5 km",3 m,3:58/km,152 bpm,174 ppm
56:53,"14,6 km",2 m,3:43/km,151 bpm,174 ppm
57:10,"14,7 km",2 m,3:49/km,152 bpm,174 ppm
57:28,"14,8 km",1 m,4:04/km,152 bpm,174 ppm
57:45,"14,8 km",1 m,3:43/km,151 bpm,174 ppm
58:02,"14,9 km",1 m,3:50/km,151 bpm,174 ppm
58:20,"15,0 km",2 m,3:52/km,151 bpm,174 ppm
58:37,"15,1 km",3 m,3:44/km,150 bpm,174 ppm
58:54,"15,1 km",5 m,3:47/km,151 bpm,174 ppm
59:11,"15,2 km",8 m,3:51/km,153 bpm,174 ppm
59:29,"15,3 km",10 m,3:55/km,155 bpm,174 ppm
59:46,"15,4 km",12 m,3:47/km,152 bpm,174 ppm
1:00:02,"15,4 km",12 m,3:36/km,151 bpm,174 ppm
,,,,,
1:00:35,"15,6 km",13 m,3:44/km,152 bpm,174 ppm
1:00:52,"15,7 km",13 m,3:36/km,152 bpm,176 ppm
1:01:09,"15,7 km",13 m,3:58/km,153 bpm,176 ppm
1:01:28,"15,8 km",13 m,4:20/km,150 bpm,174 ppm
1:01:47,"15,9 km",11 m,3:58/km,150 bpm,176 ppm
1:02:03,,,,,
1:02:18,"16,0 km",7 m,3:38/km,152 bpm,174 ppm
1:02:35,"16,1 km",7 m,3:48/km,153 bpm,174 ppm
1:02:52,"16,2 km",8 m,3:51/km,151 bpm,174 ppm
1:03:10,"16,3 km",8 m,3:46/km,151 bpm,174 ppm
1:03:26,"16,3 km",9 m,3:37/km,152 bpm,174 ppm
1:03:42,"16,4 km",10 m,3:45/km,152 bpm,174 ppm
1:04:00,"16,5 km",11 m,3:50/km,151 bpm,174 ppm
1:04:17,"16,6 km",9 m,3:53/km,151 bpm,174 ppm
1:04:35,"16,6 km",7 m,3:52/km,151 bpm,174 ppm
1:04:52,"16,7 km",6 m,3:56/km,152 bpm,172 ppm
1:05:10,"16,8 km",4 m,3:53/km,151 bpm,174 ppm
1:05:27,"16,9 km",2 m,3:54/km,151 bpm,174 ppm
1:05:45,"16,9 km",2 m,3:50/km,151 bpm,176 ppm
1:06:02,"17,0 km",2 m,3:56/km,150 bpm,174 ppm
1:06:20,"17,1 km",3 m,3:51/km,150 bpm,176 ppm
1:06:37,"17,2 km",3 m,4:02/km,150 bpm,174 ppm
1:06:56,"17,2 km",4 m,3:35/km,150 bpm,174 ppm
1:07:11,"17,3 km",4 m,3:45/km,149 bpm,174 ppm
1:07:29,"17,4 km",5 m,4:02/km,151 bpm,176 ppm
1:07:47,"17,5 km",5 m,3:48/km,151 bpm,174 ppm
,,,,,
,,,,,
1:08:36,"17,7 km",6 m,4:00/km,153 bpm,174 ppm
1:08:56,"17,8 km",6 m,4:10/km,154 bpm,174 ppm
1:09:13,"17,8 km",6 m,3:36/km,153 bpm,174 ppm
1:09:30,"17,9 km",6 m,4:00/km,153 bpm,174 ppm
1:09:49,"18,0 km",6 m,3:53/km,153 bpm,174 ppm
1:10:04,"18,1 km",6 m,3:14/km,153 bpm,176 ppm
1:10:20,"18,1 km",4 m,3:36/km,153 bpm,176 ppm
1:10:36,"18,2 km",3 m,3:30/km,155 bpm,182 ppm
1:10:51,"18,3 km",1 m,3:25/km,154 bpm,180 ppm
1:11:06,"18,4 km",0 m,3:36/km,155 bpm,174 ppm
1:11:23,"18,4 km",4 m,3:42/km,154 bpm,176 ppm
1:11:39,"18,5 km",5 m,3:54/km,155 bpm,176 ppm
1:11:59,"18,6 km",7 m,4:43/km,154 bpm,176 ppm
1:12:20,"18,7 km",8 m,4:16/km,155 bpm,174 ppm
1:12:39,"18,7 km",9 m,4:11/km,155 bpm,176 ppm
1:12:57,"18,8 km",13 m,4:01/km,155 bpm,176 ppm
1:13:14,"18,9 km",17 m,3:43/km,157 bpm,176 ppm
1:13:32,"19,0 km",21 m,4:09/km,158 bpm,176 ppm
1:13:51,"19,0 km",23 m,4:35/km,160 bpm,174 ppm
1:14:11,"19,1 km",20 m,3:34/km,161 bpm,176 ppm
1:14:27,"19,2 km",14 m,3:34/km,160 bpm,178 ppm
1:14:45,"19,3 km",9 m,4:00/km,156 bpm,174 ppm
1:15:02,"19,3 km",6 m,3:49/km,149 bpm,176 ppm
1:15:19,"19,4 km",4 m,3:57/km,149 bpm,176 ppm
1:15:37,"19,5 km",2 m,3:35/km,151 bpm,176 ppm
1:15:52,"19,6 km",5 m,3:46/km,149 bpm,182 ppm
1:16:12,"19,6 km",5 m,4:09/km,147 bpm,176 ppm
1:16:28,"19,7 km",4 m,3:44/km,148 bpm,176 ppm
1:16:46,"19,8 km",2 m,4:02/km,150 bpm,176 ppm
1:17:05,"19,9 km",4 m,3:58/km,153 bpm,174 ppm
