time,distance,elevation,pace,heartrate,cadence
12s,"0,0 km",5 m,5:18/km,100 bpm,172 ppm
27s,"0,0 km",5 m,4:50/km,100 bpm,172 ppm
43s,"0,1 km",5 m,4:50/km,100 bpm,172 ppm
59s,"0,1 km",5 m,5:16/km,100 bpm,170 ppm
1:18,"0,2 km",5 m,6:10/km,100 bpm,172 ppm
1:41,"0,3 km",5 m,5:09/km,100 bpm,178 ppm
1:54,"0,3 km",5 m,4:27/km,100 bpm,176 ppm
2:11,"0,4 km",5 m,5:10/km,100 bpm,174 ppm
2:28,"0,4 km",5 m,4:59/km,100 bpm,174 ppm
2:45,"0,5 km",5 m,5:08/km,100 bpm,172 ppm
3:02,"0,5 km",5 m,5:07/km,100 bpm,178 ppm
3:19,"0,6 km",4 m,4:59/km,100 bpm,172 ppm
3:35,"0,6 km",3 m,4:56/km,100 bpm,174 ppm
3:51,"0,7 km",2 m,4:55/km,100 bpm,174 ppm
4:07,"0,8 km",3 m,4:30/km,100 bpm,178 ppm
4:21,"0,8 km",5 m,4:38/km,100 bpm,176 ppm
4:38,"0,9 km",5 m,4:53/km,100 bpm,174 ppm
4:53,"0,9 km",4 m,4:23/km,100 bpm,172 ppm
5:07,"1,0 km",3 m,4:44/km,100 bpm,174 ppm
5:25,"1,0 km",3 m,5:16/km,100 bpm,178 ppm
5:42,"1,1 km",4 m,5:09/km,100 bpm,176 ppm
5:59,"1,1 km",5 m,4:51/km,100 bpm,174 ppm
6:14,"1,2 km",6 m,4:48/km,100 bpm,178 ppm
6:30,"1,2 km",9 m,5:13/km,100 bpm,176 ppm
6:49,"1,3 km",13 m,5:46/km,100 bpm,182 ppm
7:08,"1,4 km",17 m,5:29/km,100 bpm,180 ppm
7:25,"1,4 km",22 m,5:10/km,100 bpm,180 ppm
7:42,"1,5 km",23 m,4:55/km,100 bpm,174 ppm
7:57,"1,5 km",22 m,4:27/km,100 bpm,174 ppm
8:11,"1,6 km",19 m,4:15/km,100 bpm,178 ppm
8:25,"1,6 km",16 m,4:21/km,100 bpm,174 ppm
8:40,"1,7 km",13 m,4:26/km,100 bpm,176 ppm
8:55,"1,7 km",10 m,4:24/km,100 bpm,178 ppm
9:09,"1,8 km",8 m,4:21/km,100 bpm,178 ppm
9:24,"1,9 km",8 m,4:27/km,100 bpm,178 ppm
9:38,"1,9 km",7 m,4:24/km,100 bpm,176 ppm
9:52,"2,0 km",5 m,4:05/km,100 bpm,178 ppm
10:05,"2,0 km",5 m,4:15/km,100 bpm,176 ppm
10:20,"2,1 km",4 m,4:34/km,100 bpm,180 ppm
10:35,"2,1 km",1 m,4:24/km,100 bpm,178 ppm
10:49,"2,2 km",0 m,4:11/km,100 bpm,178 ppm
11:03,"2,2 km",0 m,4:38/km,100 bpm,178 ppm
11:19,"2,3 km",3 m,4:42/km,100 bpm,174 ppm
11:34,"2,3 km",5 m,4:12/km,100 bpm,174 ppm
11:47,"2,4 km",4 m,4:05/km,100 bpm,174 ppm
12:01,"2,5 km",6 m,4:23/km,100 bpm,174 ppm
12:17,"2,5 km",6 m,4:54/km,100 bpm,176 ppm
12:33,"2,6 km",6 m,4:09/km,100 bpm,178 ppm
12:46,"2,6 km",6 m,3:58/km,100 bpm,176 ppm
12:59,"2,7 km",6 m,4:17/km,100 bpm,178 ppm
13:14,"2,7 km",6 m,4:38/km,100 bpm,176 ppm
13:30,"2,8 km",6 m,4:36/km,100 bpm,178 ppm
13:44,"2,8 km",6 m,4:15/km,100 bpm,180 ppm
13:58,"2,9 km",6 m,4:12/km,100 bpm,180 ppm
14:12,"2,9 km",6 m,4:19/km,100 bpm,174 ppm
14:26,"3,0 km",5 m,4:38/km,100 bpm,174 ppm
14:43,"3,1 km",5 m,4:36/km,100 bpm,174 ppm
14:57,"3,1 km",5 m,4:10/km,100 bpm,178 ppm
15:10,"3,2 km",4 m,3:56/km,100 bpm,178 ppm
15:23,"3,2 km",4 m,3:52/km,100 bpm,174 ppm
15:36,"3,3 km",4 m,4:08/km,100 bpm,178 ppm
15:50,"3,3 km",4 m,4:21/km,100 bpm,178 ppm
16:04,"3,4 km",2 m,4:21/km,100 bpm,178 ppm
16:19,"3,4 km",3 m,4:22/km,100 bpm,174 ppm
16:33,"3,5 km",2 m,4:19/km,100 bpm,174 ppm
16:47,"3,6 km",2 m,4:28/km,100 bpm,174 ppm
17:03,"3,6 km",2 m,4:32/km,100 bpm,178 ppm
17:17,"3,7 km",2 m,4:19/km,100 bpm,174 ppm
17:31,"3,7 km",3 m,4:15/km,100 bpm,174 ppm
17:46,"3,8 km",5 m,4:23/km,100 bpm,174 ppm
18:00,"3,8 km",6 m,4:26/km,100 bpm,176 ppm
18:15,"3,9 km",7 m,4:19/km,100 bpm,174 ppm
18:29,"3,9 km",9 m,4:08/km,100 bpm,174 ppm
18:42,"4,0 km",10 m,4:14/km,100 bpm,172 ppm
18:56,"4,0 km",11 m,4:16/km,100 bpm,174 ppm
19:10,"4,1 km",10 m,4:17/km,100 bpm,174 ppm
19:25,"4,2 km",10 m,4:23/km,100 bpm,178 ppm
19:39,"4,2 km",9 m,4:19/km,100 bpm,174 ppm
19:53,"4,3 km",8 m,4:14/km,100 bpm,174 ppm
20:07,"4,3 km",8 m,4:16/km,100 bpm,174 ppm
20:21,"4,4 km",7 m,4:13/km,100 bpm,174 ppm
20:35,"4,4 km",6 m,4:13/km,100 bpm,178 ppm
20:49,"4,5 km",7 m,4:21/km,100 bpm,178 ppm
21:04,"4,5 km",8 m,4:17/km,100 bpm,178 ppm
21:18,"4,6 km",10 m,4:15/km,100 bpm,174 ppm
21:32,"4,7 km",12 m,4:06/km,100 bpm,178 ppm
21:45,"4,7 km",13 m,4:09/km,100 bpm,178 ppm
21:59,"4,8 km",13 m,4:17/km,100 bpm,178 ppm
22:13,"4,8 km",13 m,4:20/km,100 bpm,178 ppm
22:28,"4,9 km",13 m,4:20/km,100 bpm,174 ppm
22:42,"4,9 km",13 m,4:15/km,100 bpm,174 ppm
22:56,"5,0 km",13 m,4:12/km,100 bpm,178 ppm
23:10,"5,0 km",13 m,4:17/km,100 bpm,178 ppm
23:24,"5,1 km",12 m,4:20/km,100 bpm,176 ppm
23:38,"5,1 km",12 m,4:19/km,100 bpm,174 ppm
23:52,"5,2 km",11 m,4:15/km,100 bpm,174 ppm
24:06,"5,3 km",9 m,4:11/km,100 bpm,176 ppm
24:20,"5,3 km",8 m,4:09/km,100 bpm,174 ppm
24:34,"5,4 km",6 m,4:17/km,100 bpm,174 ppm
24:48,"5,4 km",4 m,4:17/km,100 bpm,174 ppm
25:02,"5,5 km",2 m,4:18/km,100 bpm,174 ppm
25:16,"5,5 km",2 m,4:19/km,100 bpm,174 ppm
25:30,"5,6 km",1 m,4:06/km,100 bpm,178 ppm
25:44,"5,6 km",1 m,4:08/km,100 bpm,174 ppm
25:58,"5,7 km",1 m,4:14/km,101 bpm,174 ppm
26:11,"5,8 km",1 m,4:08/km,101 bpm,174 ppm
26:25,"5,8 km",2 m,4:08/km,103 bpm,174 ppm
26:39,"5,9 km",2 m,4:13/km,107 bpm,174 ppm
26:53,"5,9 km",2 m,4:07/km,107 bpm,174 ppm
27:06,"6,0 km",2 m,4:10/km,107 bpm,174 ppm
27:20,"6,0 km",3 m,4:20/km,107 bpm,174 ppm
27:35,"6,1 km",3 m,4:07/km,107 bpm,174 ppm
27:47,"6,1 km",2 m,3:57/km,107 bpm,174 ppm
28:01,"6,2 km",3 m,4:13/km,107 bpm,174 ppm
28:15,"6,2 km",3 m,4:07/km,107 bpm,174 ppm
28:28,"6,3 km",4 m,4:02/km,107 bpm,178 ppm
28:42,"6,4 km",4 m,4:03/km,107 bpm,174 ppm
28:55,"6,4 km",4 m,4:12/km,107 bpm,176 ppm
29:09,"6,5 km",6 m,4:17/km,107 bpm,174 ppm
29:23,"6,5 km",8 m,4:11/km,107 bpm,174 ppm
29:37,"6,6 km",9 m,4:07/km,107 bpm,174 ppm
29:50,"6,6 km",8 m,5:07/km,107 bpm,176 ppm
30:10,"6,7 km",9 m,4:17/km,107 bpm,178 ppm
30:22,"6,7 km",8 m,3:45/km,107 bpm,180 ppm
30:35,"6,8 km",6 m,3:49/km,107 bpm,178 ppm
30:48,"6,9 km",4 m,3:53/km,107 bpm,178 ppm
31:00,"6,9 km",4 m,4:01/km,107 bpm,178 ppm
31:14,"7,0 km",4 m,4:14/km,107 bpm,174 ppm
31:28,"7,0 km",3 m,4:12/km,107 bpm,174 ppm
31:42,"7,1 km",3 m,4:15/km,107 bpm,174 ppm
31:56,"7,1 km",3 m,4:23/km,107 bpm,178 ppm
32:11,"7,2 km",3 m,4:18/km,107 bpm,176 ppm
32:25,"7,2 km",3 m,4:25/km,107 bpm,178 ppm
32:40,"7,3 km",2 m,4:07/km,107 bpm,174 ppm
32:52,"7,3 km",2 m,3:54/km,107 bpm,174 ppm
33:05,"7,4 km",2 m,4:03/km,107 bpm,174 ppm
33:19,"7,5 km",2 m,4:08/km,107 bpm,174 ppm
33:33,"7,5 km",1 m,4:11/km,107 bpm,174 ppm
33:47,"7,6 km",1 m,4:11/km,107 bpm,174 ppm
34:00,"7,6 km",1 m,4:07/km,107 bpm,174 ppm
34:14,"7,7 km",1 m,4:08/km,107 bpm,178 ppm
34:27,"7,7 km",2 m,4:11/km,107 bpm,178 ppm
34:41,"7,8 km",2 m,4:05/km,107 bpm,178 ppm
34:54,"7,8 km",4 m,4:01/km,107 bpm,174 ppm
35:08,"7,9 km",6 m,4:04/km,107 bpm,174 ppm
35:21,"8,0 km",8 m,4:11/km,107 bpm,178 ppm
35:36,"8,0 km",10 m,4:17/km,107 bpm,178 ppm
35:50,"8,1 km",11 m,4:05/km,107 bpm,174 ppm
36:02,"8,1 km",12 m,4:02/km,107 bpm,178 ppm
36:16,"8,2 km",12 m,4:08/km,107 bpm,178 ppm
36:30,"8,2 km",13 m,4:07/km,107 bpm,178 ppm
36:43,"8,3 km",13 m,4:09/km,107 bpm,178 ppm
36:57,"8,3 km",13 m,4:07/km,107 bpm,178 ppm
37:11,"8,4 km",13 m,4:09/km,107 bpm,178 ppm
37:24,"8,4 km",13 m,4:06/km,107 bpm,178 ppm
37:38,"8,5 km",13 m,4:04/km,107 bpm,178 ppm
37:51,"8,6 km",13 m,4:06/km,107 bpm,178 ppm
38:05,"8,6 km",12 m,4:05/km,107 bpm,178 ppm
38:18,"8,7 km",10 m,3:58/km,107 bpm,176 ppm
38:31,"8,7 km",8 m,3:59/km,107 bpm,178 ppm
38:44,"8,8 km",7 m,4:06/km,107 bpm,178 ppm
38:58,"8,8 km",6 m,4:04/km,107 bpm,178 ppm
39:11,"8,9 km",7 m,4:06/km,107 bpm,178 ppm
39:25,"8,9 km",8 m,4:10/km,107 bpm,178 ppm
39:39,"9,0 km",8 m,4:06/km,107 bpm,174 ppm
39:52,"9,1 km",9 m,4:03/km,107 bpm,178 ppm
40:06,"9,1 km",10 m,4:11/km,107 bpm,178 ppm
40:19,"9,2 km",10 m,4:10/km,107 bpm,174 ppm
40:33,"9,2 km",11 m,4:02/km,107 bpm,174 ppm
