time,distance,elevation,pace,heartrate,cadence
19s,"0,0 km",5 m,5:30/km,108 bpm,170 ppm
32s,"0,0 km",5 m,5:28/km,109 bpm,172 ppm
43s,"0,1 km",5 m,5:14/km,112 bpm,172 ppm
56s,"0,1 km",5 m,5:38/km,112 bpm,170 ppm
1:08,"0,2 km",5 m,5:48/km,112 bpm,172 ppm
1:23,"0,2 km",5 m,5:12/km,113 bpm,178 ppm
1:34,"0,2 km",5 m,4:34/km,107 bpm,178 ppm
1:44,"0,3 km",5 m,4:42/km,109 bpm,174 ppm
1:55,"0,3 km",5 m,4:45/km,110 bpm,178 ppm
2:06,"0,4 km",6 m,4:42/km,110 bpm,178 ppm
2:16,"0,4 km",6 m,4:46/km,109 bpm,178 ppm
2:27,"0,4 km",5 m,5:06/km,110 bpm,180 ppm
2:40,"0,5 km",4 m,5:07/km,111 bpm,178 ppm
2:51,"0,5 km",4 m,5:09/km,108 bpm,174 ppm
3:03,"0,5 km",4 m,4:54/km,110 bpm,178 ppm
3:14,"0,6 km",4 m,4:54/km,105 bpm,180 ppm
3:25,"0,6 km",4 m,4:59/km,107 bpm,174 ppm
3:37,"0,7 km",4 m,5:19/km,112 bpm,178 ppm
3:49,"0,7 km",4 m,5:13/km,114 bpm,174 ppm
4:01,"0,7 km",5 m,4:59/km,114 bpm,178 ppm
4:12,"0,8 km",5 m,4:51/km,113 bpm,174 ppm
4:23,"0,8 km",6 m,4:57/km,110 bpm,178 ppm
4:34,"0,8 km",6 m,5:20/km,108 bpm,178 ppm
4:48,"0,9 km",5 m,5:31/km,104 bpm,178 ppm
5:00,"0,9 km",5 m,5:13/km,108 bpm,182 ppm
5:12,"1,0 km",6 m,4:49/km,113 bpm,178 ppm
5:22,"1,0 km",6 m,4:31/km,109 bpm,180 ppm
5:32,"1,0 km",7 m,4:32/km,111 bpm,178 ppm
5:43,"1,1 km",7 m,4:42/km,116 bpm,174 ppm
5:53,"1,1 km",8 m,4:42/km,117 bpm,178 ppm
6:05,"1,2 km",9 m,4:45/km,116 bpm,182 ppm
6:15,"1,2 km",9 m,4:49/km,117 bpm,180 ppm
6:26,"1,2 km",8 m,4:42/km,116 bpm,182 ppm
6:37,"1,3 km",7 m,4:45/km,115 bpm,182 ppm
6:47,"1,3 km",6 m,4:45/km,115 bpm,182 ppm
6:59,"1,3 km",10 m,4:52/km,115 bpm,180 ppm
7:10,"1,4 km",13 m,5:04/km,114 bpm,180 ppm
7:21,"1,4 km",14 m,5:14/km,114 bpm,180 ppm
7:34,"1,5 km",11 m,5:09/km,113 bpm,180 ppm
7:45,"1,5 km",7 m,4:39/km,114 bpm,180 ppm
7:55,"1,5 km",6 m,4:16/km,112 bpm,182 ppm
8:05,"1,6 km",6 m,4:28/km,110 bpm,174 ppm
8:16,"1,6 km",4 m,4:32/km,111 bpm,176 ppm
8:26,"1,6 km",4 m,4:33/km,112 bpm,176 ppm
8:36,"1,7 km",4 m,4:33/km,115 bpm,178 ppm
8:46,"1,7 km",5 m,4:42/km,115 bpm,178 ppm
8:57,"1,8 km",5 m,4:47/km,117 bpm,178 ppm
9:08,"1,8 km",6 m,4:45/km,118 bpm,174 ppm
9:19,"1,8 km",5 m,4:48/km,119 bpm,174 ppm
9:30,"1,9 km",4 m,4:42/km,117 bpm,174 ppm
9:41,"1,9 km",3 m,4:34/km,113 bpm,174 ppm
9:51,"1,9 km",3 m,4:27/km,112 bpm,178 ppm
10:01,"2,0 km",3 m,4:27/km,112 bpm,174 ppm
10:11,"2,0 km",3 m,4:27/km,112 bpm,176 ppm
10:21,"2,1 km",3 m,4:29/km,113 bpm,178 ppm
10:32,"2,1 km",2 m,4:32/km,114 bpm,176 ppm
10:42,"2,1 km",3 m,4:38/km,113 bpm,178 ppm
10:53,"2,2 km",2 m,4:38/km,114 bpm,174 ppm
11:03,"2,2 km",2 m,4:40/km,114 bpm,174 ppm
11:14,"2,3 km",2 m,4:40/km,117 bpm,174 ppm
11:25,"2,3 km",2 m,4:36/km,119 bpm,174 ppm
11:35,"2,3 km",2 m,4:43/km,116 bpm,178 ppm
11:45,"2,4 km",2 m,5:22/km,114 bpm,178 ppm
12:00,"2,4 km",2 m,6:11/km,114 bpm,170 ppm
12:16,"2,4 km",2 m,5:29/km,118 bpm,172 ppm
12:27,"2,5 km",2 m,4:25/km,116 bpm,172 ppm
12:37,"2,5 km",2 m,4:27/km,112 bpm,174 ppm
12:47,"2,6 km",2 m,4:36/km,110 bpm,178 ppm
12:58,"2,6 km",2 m,4:38/km,115 bpm,174 ppm
13:08,"2,6 km",3 m,4:36/km,117 bpm,174 ppm
