"","time","distance","elevation","pace","heartrate","cadence"
"1","26s",0,69,316,139,186
"2","48s",0.1,72,379,140,182
"3","1:00",0.1,74,367,142,184
"4","1:23",0.2,76,317,143,180
"5","1:36",0.2,77,318,137,184
"6","1:52",0.3,78,342,127,180
"7","2:06",0.3,79,336,127,184
"8","2:26",0.4,80,334,133,182
"9","2:41",0.4,80,341,130,182
"10","2:53",0.4,80,338,134,182
"11","3:07",0.5,80,321,137,182
"12","3:21",0.5,81,314,135,188
"13","3:35",0.6,82,313,135,190
"14","3:56",0.6,83,329,136,192
"15","4:11",0.7,83,327,136,188
"16","4:25",0.7,83,318,137,186
"17","4:39",0.8,81,310,138,188
"18","4:50",0.8,82,310,142,188
"19","5:04",0.8,84,320,142,182
"20","5:17",0.9,84,328,139,188
"21","5:36",0.9,86,335,143,186
"22","5:50",1,86,333,140,188
"23","6:03",1,86,330,143,186
"24","6:21",1.1,86,323,142,186
"25","6:35",1.1,86,324,140,188
"26","6:49",1.2,87,326,143,188
"27","7:03",1.2,88,328,141,186
"28","7:24",1.3,89,332,142,186
"29","7:36",1.3,89,332,140,188
"30","7:48",1.3,89,330,138,182
"31","8:04",1.4,89,315,139,186
"32","8:21",1.5,90,310,138,188
"33","8:35",1.5,90,322,139,186
"34","8:47",1.5,90,332,143,186
"35","9:05",1.6,90,331,143,188
"36","9:19",1.6,91,325,143,186
"37","9:33",1.7,91,319,146,186
"38","9:47",1.7,92,324,145,188
"39","10:01",1.8,92,338,145,188
"40","10:21",1.8,93,341,141,184
"41","10:38",1.9,94,337,144,188
"42","10:49",1.9,94,315,150,188
"43","11:06",2,95,286,149,184
"44","11:19",2,95,308,149,184
"45","11:27",2,95,314,141,184
"46","11:48",2.1,95,313,141,186
"47","11:58",2.1,95,300,137,182
"48","12:10",2.2,94,286,137,186
"49","12:26",2.2,93,275,131,188
"50","12:38",2.3,93,280,132,188
"51","12:50",2.3,92,287,131,188
"52","13:03",2.4,90,258,127,182
"53","13:16",2.4,88,279,125,182
"54","13:29",2.4,87,285,126,188
"55","13:43",2.5,84,283,129,184
"56","13:55",2.5,83,287,130,188
"57","14:13",2.6,82,287,129,188
"58","14:24",2.6,81,273,133,188
"59","14:37",2.7,78,258,132,188
"60","14:52",2.7,78,304,133,192
"61","15:04",2.8,78,302,142,192
"62","15:16",2.8,80,310,154,190
"63","15:30",2.9,83,305,160,188
"64","15:47",2.9,84,304,164,190
"65","15:58",3,85,302,166,188
"66","16:14",3,87,304,166,190
"67","16:26",3,88,282,162,188
"68","16:38",3.1,90,271,161,188
"69","16:52",3.1,92,280,161,190
"70","17:01",3.2,93,282,162,190
"71","17:15",3.2,95,252,167,190
"72","17:28",3.3,97,288,165,192
"73","17:41",3.3,98,287,164,192
"74","18:00",3.4,100,256,165,190
"75","18:13",3.4,101,257,167,190
"76","18:26",3.5,102,286,166,192
"77","18:38",3.5,103,277,166,190
"78","18:50",3.6,104,280,170,192
"79","19:03",3.6,105,289,168,192
"80","19:15",3.6,106,251,168,190
"81","19:27",3.7,107,258,166,190
"82","19:40",3.7,108,307,166,188
"83","19:54",3.8,110,320,167,188
"84","20:15",3.8,111,317,164,190
"85","20:28",3.9,111,257,165,190
"86","20:41",3.9,113,256,166,188
"87","20:54",4,113,289,165,188
"88","21:06",4,115,257,164,190
"89","21:17",4,116,254,169,190
"90","21:35",4.1,117,254,165,186
"91","21:48",4.1,118,253,167,188
"92","22:00",4.2,119,256,166,190
"93","22:13",4.2,119,287,166,188
"94","22:25",4.3,120,286,167,190
"95","22:41",4.3,121,284,168,192
"96","22:53",4.4,122,276,168,190
"97","23:03",4.4,122,282,170,190
"98","23:20",4.5,123,289,168,190
"99","23:32",4.5,123,274,169,192
"100","23:44",4.6,124,274,169,190
"101","23:56",4.6,124,277,166,190
"102","24:09",4.6,124,284,168,188
"103","24:19",4.7,124,251,165,190
"104","24:36",4.7,125,253,167,192
"105","24:46",4.8,125,254,163,192
"106","25:01",4.8,126,254,165,190
"107","25:12",4.9,127,290,164,192
"108","25:30",4.9,127,251,166,192
"109","25:42",5,128,255,164,188
"110","25:55",5,128,256,165,190
"111","26:07",5,129,289,166,190
"112","26:19",5.1,130,279,164,192
"113","26:31",5.1,130,284,164,192
"114","26:45",5.2,130,251,168,190
"115","27:03",5.2,131,279,167,192
"116","27:15",5.3,131,282,167,190
"117","27:27",5.3,131,282,166,192
"118","27:38",5.4,131,278,163,192
"119","27:53",5.4,131,275,164,192
"120","28:05",5.5,131,277,164,192
"121","28:14",5.5,131,278,163,192
"122","28:32",5.6,131,258,163,192
"123","28:44",5.6,131,254,157,188
"124","28:59",5.7,131,266,158,196
"125","29:10",5.7,131,260,154,196
"126","29:21",5.7,131,254,153,196
"127","29:32",5.8,130,259,156,196
"128","29:45",5.8,130,265,154,196
"129","29:55",5.9,130,268,164,192
"130","30:07",5.9,130,268,164,192
"131","30:19",6,130,269,165,196
"132","30:31",6,130,269,166,196
"133","30:47",6.1,129,254,165,196
"134","30:57",6.1,129,252,165,198
"135","31:09",6.2,129,253,165,198
"136","31:20",6.2,128,261,167,196
"137","31:32",6.2,127,273,167,196
"138","31:44",6.3,127,280,167,190
"139","31:56",6.3,127,282,165,196
"140","32:13",6.4,126,278,167,196
"141","32:20",6.4,125,265,165,196
"142","32:32",6.5,124,248,164,192
"143","32:47",6.5,123,247,163,196
"144","32:59",6.6,123,247,165,198
"145","33:09",6.6,122,247,165,192
"146","33:18",6.6,122,256,167,198
"147","33:30",6.7,122,257,166,196
"148","33:44",6.7,121,250,170,192
"149","33:55",6.8,122,251,168,196
"150","34:06",6.8,122,249,168,198
"151","34:20",6.9,123,249,169,196
"152","34:30",6.9,123,250,169,198
"153","34:40",7,123,252,173,198
"154","34:51",7,123,256,169,198
"155","35:03",7.1,122,254,170,198
"156","35:14",7.1,122,260,171,196
"157","35:26",7.2,122,255,173,198
"158","35:37",7.2,122,248,169,198
"159","35:51",7.3,122,245,176,198
"160","36:00",7.3,121,245,172,198
"161","36:10",7.3,121,197,172,198
"162","36:20",7.4,121,241,171,198
"163","36:31",7.4,120,247,172,196
"164","36:46",7.5,119,248,175,192
"165","36:58",7.5,118,249,172,198
"166","37:08",7.6,117,252,174,198
"167","37:20",7.6,116,255,176,196
"168","37:31",7.7,115,252,171,196
"169","37:44",7.7,115,196,172,194
"170","37:54",7.8,115,195,171,198
"171","38:04",7.8,114,196,172,196
"172","38:14",7.8,113,199,173,198
"173","38:24",7.9,113,198,173,198
"174","38:34",7.9,112,244,174,200
"175","38:45",8,111,246,175,198
"176","38:58",8,110,258,174,196
"177","39:10",8.1,109,263,172,196
"178","39:22",8.1,108,267,170,196
"179","39:34",8.2,108,265,171,196
"180","39:46",8.2,108,265,170,196
"181","40:00",8.3,107,263,171,196
"182","40:12",8.3,106,262,171,196
"183","40:25",8.3,105,262,170,196
"184","40:37",8.4,105,260,169,196
"185","40:49",8.4,105,254,168,198
"186","40:57",8.5,105,250,173,198
"187","41:11",8.5,103,253,170,196
"188","41:22",8.6,103,255,168,196
"189","41:33",8.6,102,257,172,196
"190","41:45",8.7,101,263,169,198
"191","41:55",8.7,101,264,173,196
"192","42:07",8.7,100,268,171,196
"193","42:22",8.8,99,265,172,196
"194","42:33",8.8,98,258,170,196
"195","42:44",8.9,97,254,168,192
"196","42:59",8.9,95,250,170,192
"197","43:09",9,94,195,168,192
"198","43:16",9,93,223,168,196
"199","43:26",9.1,92,229,167,192
"200","43:37",9.1,91,244,169,192
"201","43:49",9.2,90,254,168,198
"202","44:00",9.2,90,249,169,198
"203","44:11",9.2,89,240,169,196
"204","44:22",9.3,88,244,172,196
"205","44:33",9.3,87,255,167,182
"206","44:45",9.4,87,261,169,196
"207","44:57",9.4,87,272,171,198
"208","45:15",9.5,89,280,175,196
"209","45:23",9.5,90,284,178,198
"210","45:37",9.6,94,253,171,198
"211","45:49",9.6,98,302,176,196
"212","46:10",9.7,102,319,176,190
"213","46:24",9.7,103,305,174,190
"214","46:36",9.8,102,290,180,190
"215","46:47",9.8,101,277,175,188
"216","47:03",9.9,99,272,171,194
"217","47:15",9.9,98,264,170,190
"218","47:22",9.9,98,253,165,192
"219","47:38",10,97,249,167,196
"220","47:48",10,97,255,168,196
"221","48:00",10.1,96,252,168,196
"222","48:11",10.1,95,198,170,190
"223","48:21",10.2,95,197,170,196
"224","48:30",10.2,94,260,166,198
"225","48:45",10.3,93,264,169,198
"226","48:59",10.3,92,247,172,198
"227","49:10",10.4,92,242,172,196
"228","49:20",10.4,91,226,172,198
"229","49:30",10.4,91,228,172,198
"230","49:40",10.5,91,240,172,200
"231","49:51",10.5,90,244,173,198
"232","50:01",10.6,90,252,174,198
"233","50:13",10.6,90,257,179,198
"234","50:25",10.7,89,258,176,198
"235","50:35",10.7,89,256,175,184
"236","50:47",10.8,89,259,173,198
"237","50:59",10.8,89,259,175,198
"238","51:11",10.8,88,257,174,200
"239","51:22",10.9,87,252,173,198
"240","51:33",10.9,86,248,174,198
"241","51:47",11,86,241,177,198
"242","51:57",11,86,240,173,198
"243","52:07",11.1,86,243,174,198
"244","52:18",11.1,86,245,182,200
"245","52:28",11.2,85,245,179,196
"246","52:42",11.2,84,251,177,198
"247","52:54",11.3,83,251,175,196
"248","53:06",11.3,81,265,199,196
"249","53:17",11.4,83,271,197,200
"250","53:28",11.4,83,268,197,198
"251","53:40",11.4,83,263,195,198
"252","53:52",11.5,82,257,195,196
"253","54:03",11.5,81,255,196,198
"254","54:15",11.6,80,249,195,198
"255","54:29",11.6,80,267,199,200
"256","54:41",11.7,80,276,196,200
"257","54:53",11.7,80,282,192,190
"258","55:05",11.8,79,265,196,198
"259","55:15",11.8,79,252,192,198
"260","55:30",11.9,77,243,192,192
"261","55:39",11.9,76,241,188,196
"262","55:48",11.9,75,244,171,196
"263","56:02",12,73,244,177,188
"264","56:15",12,69,190,181,196
"265","56:25",12.1,67,223,178,196
"266","56:32",12.1,65,223,175,192
