"","time","distance","elevation","pace","heartrate","cadence"
"1","16s",0,13,256,98,182
"2","28s",0,13,308,120,184
"3","41s",0.1,13,319,134,182
"4","53s",0.1,13,329,132,182
"5","1:01",0.2,13,329,124,182
"6","1:14",0.2,13,320,125,184
"7","1:27",0.2,13,310,124,180
"8","1:40",0.3,12,308,126,184
"9","1:54",0.3,12,312,127,184
"10","2:01",0.3,12,313,127,182
"11","2:14",0.4,12,311,132,180
"12","2:28",0.4,12,319,131,182
"13","2:39",0.5,12,314,133,182
"14","2:45",0.5,12,311,132,182
"15","2:59",0.5,13,304,132,182
"16","3:12",0.6,14,321,133,182
"17","3:18",0.6,14,331,134,182
"18","3:36",0.6,14,330,133,178
"19","3:43",0.7,14,317,133,182
"20","3:57",0.7,14,306,133,182
"21","4:11",0.8,13,312,132,180
"22","4:18",0.8,13,318,133,184
"23","4:29",0.8,12,335,132,182
"24","4:45",0.9,15,333,133,184
"25","4:58",0.9,16,318,130,180
"26","5:11",0.9,17,312,134,178
"27","5:21",1,17,314,139,180
"28","5:34",1,17,302,138,182
"29","5:40",1,17,254,138,182
"30","5:52",1.1,17,253,137,182
"31","6:04",1.1,17,288,139,184
"32","6:12",1.1,17,259,142,180
"33","6:24",1.2,16,310,141,180
"34","6:39",1.2,16,306,139,180
"35","6:48",1.3,16,339,139,182
"36","6:57",1.3,16,316,139,182
"37","7:13",1.3,16,310,138,182
"38","7:27",1.4,17,321,139,184
"39","7:33",1.4,17,310,138,180
"40","7:46",1.4,17,307,140,184
"41","8:00",1.5,16,308,140,182
"42","8:07",1.5,16,255,140,180
"43","8:19",1.5,16,272,139,184
"44","8:30",1.6,16,265,137,180
"45","8:41",1.6,16,255,142,182
"46","8:48",1.6,16,307,144,180
"47","8:59",1.7,16,308,142,186
"48","9:12",1.7,15,256,141,188
"49","9:23",1.8,14,281,139,182
"50","9:29",1.8,14,283,140,186
"51","9:42",1.8,14,280,142,186
"52","9:54",1.9,13,285,141,186
"53","10:00",1.9,13,280,139,188
"54","10:13",1.9,13,279,140,186
"55","10:24",2,13,275,139,186
"56","10:31",2,13,279,137,186
"57","10:43",2,13,255,139,186
"58","10:56",2.1,13,288,141,186
"59","11:02",2.1,12,253,139,186
"60","11:15",2.2,11,281,140,188
"61","11:27",2.2,11,286,137,186
"62","11:33",2.2,10,279,139,186
"63","11:45",2.3,9,258,138,186
"64","11:58",2.3,9,312,140,182
"65","12:12",2.4,9,315,141,186
"66","12:18",2.4,10,306,140,186
"67","12:31",2.4,10,300,137,186
"68","12:40",2.4,10,330,134,188
"69","12:53",2.5,14,336,127,186
"70","13:04",2.5,13,319,133,184
"71","13:17",2.6,12,312,134,184
"72","13:27",2.6,11,318,134,186
"73","13:39",2.6,10,281,157,186
"74","13:53",2.7,13,270,159,188
"75","13:59",2.7,14,268,161,186
"76","14:11",2.7,17,289,156,186
"77","14:22",2.8,17,285,151,188
"78","14:34",2.8,17,271,152,186
"79","14:39",2.8,17,262,149,182
"80","14:50",2.9,17,262,146,186
"81","15:04",2.9,16,300,161,182
"82","15:10",3,16,302,158,186
"83","15:23",3,16,259,159,182
"84","15:31",3,17,301,161,186
"85","15:44",3.1,18,276,161,186
"86","15:57",3.1,18,286,159,182
"87","16:04",3.1,18,278,160,186
"88","16:14",3.2,18,277,160,180
"89","16:26",3.2,18,280,164,188
"90","16:31",3.2,18,255,161,188
"91","16:49",3.3,18,301,161,182
"92","16:55",3.3,18,256,161,182
"93","17:06",3.4,18,256,163,186
"94","17:21",3.4,18,318,163,182
"95","17:28",3.4,18,320,162,182
"96","17:41",3.5,18,287,165,182
"97","17:52",3.5,17,274,165,188
"98","17:58",3.5,17,274,167,186
"99","18:11",3.6,17,281,168,188
"100","18:23",3.6,17,259,167,188
"101","18:30",3.6,16,251,166,186
"102","18:44",3.7,14,303,164,188
"103","18:52",3.7,12,256,162,0
"104","19:05",3.8,12,303,164,186
"105","19:18",3.8,13,254,161,188
"106","19:24",3.8,13,282,162,186
"107","19:36",3.9,14,283,163,182
"108","19:49",3.9,15,284,165,186
"109","19:55",3.9,16,251,165,186
"110","20:07",4,17,255,164,188
"111","20:21",4,17,303,165,188
"112","20:28",4,17,258,167,186
"113","20:38",4.1,17,256,163,186
"114","20:51",4.1,17,301,164,188
"115","21:03",4.2,19,288,167,186
"116","21:14",4.2,20,264,166,186
"117","21:19",4.2,21,261,165,188
"118","21:31",4.3,21,273,164,182
"119","21:44",4.3,21,256,165,184
"120","21:51",4.3,21,303,165,188
"121","22:06",4.4,20,278,165,188
"122","22:12",4.4,19,275,166,188
"123","22:24",4.4,18,277,163,186
"124","22:37",4.5,19,282,166,182
"125","22:43",4.5,19,285,164,188
"126","22:55",4.6,18,284,165,188
"127","23:05",4.6,18,290,161,186
"128","23:16",4.6,17,285,163,188
"129","23:26",4.7,17,270,166,188
"130","23:38",4.7,16,271,165,186
"131","23:44",4.7,16,273,164,188
"132","23:54",4.8,16,288,168,184
"133","24:04",4.8,15,251,165,188
"134","24:17",4.8,15,254,168,188
"135","24:30",4.9,14,254,166,186
"136","24:37",4.9,13,254,164,182
"137","24:49",5,21,285,162,186
"138","25:01",5,20,279,166,188
"139","25:08",5,20,278,167,184
"140","25:20",5.1,20,283,167,184
"141","25:30",5.1,19,252,163,188
"142","25:43",5.1,19,251,164,184
"143","25:53",5.2,18,289,167,184
"144","25:59",5.2,18,285,166,188
"145","26:09",5.2,18,285,162,184
"146","26:19",5.3,17,289,165,184
"147","26:34",5.3,17,274,167,184
"148","26:43",5.4,17,265,162,180
"149","26:53",5.4,17,255,164,188
"150","26:59",5.4,17,258,164,188
"151","27:09",5.5,16,268,166,188
"152","27:22",5.5,16,269,163,188
"153","27:27",5.5,16,265,162,190
"154","27:38",5.6,18,260,165,188
"155","27:50",5.6,17,262,168,190
"156","27:56",5.6,17,262,168,188
"157","28:08",5.7,15,267,168,188
"158","28:20",5.7,15,271,166,188
"159","28:26",5.7,15,271,166,188
"160","28:38",5.8,15,271,166,188
"161","28:48",5.8,16,278,169,188
"162","28:57",5.9,18,274,163,184
"163","29:09",5.9,16,276,166,184
"164","29:15",5.9,15,275,167,184
"165","29:27",6,13,272,167,186
"166","29:39",6,13,275,169,184
"167","29:45",6,13,275,168,182
"168","29:57",6.1,12,272,171,182
"169","30:09",6.1,13,271,167,182
"170","30:15",6.1,13,267,168,182
"171","30:27",6.2,14,273,168,184
"172","30:39",6.2,15,263,167,188
"173","30:44",6.3,16,261,167,182
"174","30:55",6.3,16,268,168,184
