"","time","distance","elevation","pace","heartrate","cadence"
"1","20s",0,12,332,99,188
"2","32s",0,13,309,116,186
"3","43s",0.1,14,303,126,186
"4","55s",0.1,14,312,125,182
"5","1:07",0.2,13,313,135,184
"6","1:17",0.2,12,319,134,180
"7","1:34",0.2,12,325,140,182
"8","1:41",0.3,12,325,140,184
"9","1:55",0.3,14,333,140,184
"10","2:04",0.3,13,324,139,182
"11","2:17",0.4,13,312,137,186
"12","2:30",0.4,12,323,135,182
"13","2:38",0.4,11,326,136,178
"14","2:56",0.5,12,312,132,182
"15","3:03",0.5,12,305,133,180
"16","3:15",0.6,12,302,134,182
"17","3:28",0.6,13,300,135,184
"18","3:35",0.6,13,257,136,180
"19","3:47",0.7,13,289,136,182
"20","3:59",0.7,13,285,136,180
"21","4:05",0.7,13,288,136,182
"22","4:17",0.8,13,251,138,180
"23","4:29",0.8,13,253,137,184
"24","4:42",0.9,12,255,142,184
"25","4:48",0.9,11,254,144,182
"26","5:01",0.9,10,288,142,180
"27","5:11",1,11,289,141,182
"28","5:23",1,11,253,141,180
"29","5:30",1,12,302,141,182
"30","5:44",1.1,13,307,143,182
"31","5:54",1.1,13,308,149,182
"32","6:07",1.1,13,305,148,180
"33","6:15",1.2,13,316,147,180
"34","6:29",1.2,13,307,147,184
"35","6:38",1.2,11,303,145,176
"36","6:50",1.3,11,253,145,180
"37","7:03",1.3,13,303,146,182
"38","7:10",1.4,13,309,146,182
"39","7:23",1.4,13,287,150,180
"40","7:35",1.4,13,255,147,180
"41","7:41",1.5,14,289,146,184
"42","7:55",1.5,14,316,149,180
"43","8:05",1.5,13,312,148,180
"44","8:21",1.6,13,316,147,182
"45","8:28",1.6,13,311,147,186
"46","8:41",1.6,13,307,146,182
"47","8:53",1.7,13,301,146,182
"48","9:05",1.7,13,303,148,186
"49","9:12",1.7,13,311,148,182
"50","9:26",1.8,13,336,146,180
"51","9:41",1.8,14,339,148,186
"52","9:48",1.9,14,328,150,182
"53","10:01",1.9,14,324,148,182
"54","10:16",1.9,15,313,148,182
"55","10:24",2,16,310,147,186
"56","10:35",2,15,260,147,182
"57","10:45",2.1,15,259,149,186
"58","10:52",2.1,15,247,148,180
"59","11:02",2.1,15,266,150,186
"60","11:14",2.2,14,255,150,182
"61","11:24",2.2,14,254,152,182
"62","11:30",2.2,15,253,153,184
"63","11:46",2.3,16,315,151,182
"64","11:59",2.3,16,320,154,180
"65","12:11",2.3,16,258,151,182
"66","12:17",2.4,16,257,152,182
"67","12:30",2.4,16,251,152,182
"68","12:37",2.4,15,289,154,182
"69","12:47",2.5,15,251,151,182
"70","12:57",2.5,14,285,154,186
"71","13:09",2.6,14,288,153,180
"72","13:21",2.6,14,284,153,182
"73","13:33",2.6,14,286,154,186
"74","13:39",2.7,14,286,153,186
"75","13:49",2.7,15,256,155,186
"76","14:01",2.7,15,256,152,182
"77","14:15",2.8,14,254,154,184
"78","14:21",2.8,14,254,153,184
"79","14:33",2.8,14,255,153,184
"80","14:45",2.9,15,251,153,184
"81","14:57",2.9,16,280,153,184
"82","15:03",2.9,16,288,155,182
"83","15:16",3,16,290,155,184
"84","15:28",3,16,256,153,184
"85","15:41",3.1,16,258,152,184
"86","15:47",3.1,16,303,152,182
"87","16:01",3.1,18,301,153,184
"88","16:10",3.2,19,258,153,182
"89","16:24",3.2,19,252,155,184
"90","16:30",3.2,19,252,155,184
"91","16:43",3.3,18,276,155,184
"92","16:55",3.3,18,285,155,184
"93","17:01",3.3,18,281,154,184
"94","17:13",3.4,17,284,155,184
"95","17:25",3.4,17,259,156,184
"96","17:32",3.5,18,259,155,184
"97","17:43",3.5,19,257,152,180
"98","17:53",3.5,20,282,143,188
"99","18:04",3.6,21,304,145,186
"100","18:16",3.6,21,309,149,180
"101","18:31",3.7,21,253,152,186
"102","18:38",3.7,21,289,152,186
"103","18:50",3.7,22,284,154,186
"104","19:00",3.8,22,282,157,182
"105","19:11",3.8,22,253,152,186
"106","19:23",3.8,22,251,153,180
"107","19:30",3.9,22,300,155,184
"108","19:43",3.9,22,258,155,188
"109","19:56",3.9,22,257,155,184
"110","20:02",4,22,289,155,182
"111","20:15",4,22,259,153,184
"112","20:27",4,23,288,157,184
"113","20:33",4.1,23,288,158,184
"114","20:43",4.1,23,278,156,182
"115","20:57",4.2,24,289,153,184
"116","21:09",4.2,25,251,156,188
"117","21:15",4.2,25,287,157,184
"118","21:27",4.3,25,257,157,184
"119","21:37",4.3,24,300,155,182
"120","21:51",4.3,22,259,158,188
"121","21:57",4.4,23,289,157,184
"122","22:07",4.4,23,268,160,188
"123","22:19",4.4,25,274,159,186
"124","22:31",4.5,25,252,158,182
"125","22:38",4.5,25,310,158,182
"126","22:53",4.6,25,303,157,182
"127","23:05",4.6,26,315,158,188
"128","23:12",4.6,27,257,157,188
"129","23:25",4.7,26,302,157,186
"130","23:37",4.7,26,253,158,188
"131","23:47",4.7,25,279,160,188
"132","23:53",4.8,25,281,157,184
"133","24:05",4.8,25,285,157,186
"134","24:17",4.8,24,283,157,186
"135","24:29",4.9,24,275,158,188
"136","24:35",4.9,24,272,159,184
"137","24:47",5,25,279,159,188
"138","24:59",5,23,282,159,184
"139","25:05",5,22,278,159,188
"140","25:17",5.1,23,271,158,188
"141","25:29",5.1,23,271,159,184
"142","25:35",5.1,23,274,160,184
"143","25:47",5.2,22,280,160,188
"144","25:57",5.2,20,282,162,182
"145","26:09",5.2,20,284,161,182
"146","26:15",5.3,19,285,160,186
"147","26:27",5.3,19,288,159,184
"148","26:39",5.4,20,252,158,184
"149","26:46",5.4,20,282,158,182
"150","26:58",5.4,20,281,158,188
"151","27:10",5.5,21,283,158,186
"152","27:18",5.5,21,287,163,188
"153","27:31",5.5,21,290,160,188
"154","27:43",5.6,22,286,158,184
"155","27:49",5.6,22,251,159,184
"156","28:02",5.6,22,287,160,188
"157","28:14",5.7,23,289,162,188
"158","28:21",5.7,23,284,162,188
"159","28:33",5.7,23,256,162,188
"160","28:46",5.8,24,257,160,184
"161","28:53",5.8,24,301,160,184
"162","29:06",5.9,25,287,160,184
"163","29:12",5.9,25,283,160,184
"164","29:24",5.9,24,278,159,188
"165","29:36",6,23,288,160,188
"166","29:49",6,22,284,161,184
"167","29:55",6,22,282,162,188
"168","30:04",6.1,22,276,163,184
"169","30:16",6.1,22,279,162,184
"170","30:28",6.2,21,280,161,182
"171","30:34",6.2,21,285,161,184
"172","30:46",6.2,21,284,159,184
"173","30:58",6.3,21,288,162,182
"174","31:10",6.3,21,282,164,184
"175","31:16",6.3,21,290,163,188
"176","31:29",6.4,21,286,164,184
"177","31:37",6.4,21,283,165,184
"178","31:49",6.4,21,274,164,188
"179","32:01",6.5,21,272,163,184
"180","32:07",6.5,21,274,161,188
"181","32:19",6.5,21,274,163,188
"182","32:31",6.6,21,276,163,188
"183","32:37",6.6,21,271,163,188
"184","32:48",6.7,20,271,163,184
"185","33:00",6.7,21,267,163,184
"186","33:06",6.7,21,273,165,184
"187","33:18",6.8,21,280,164,182
"188","33:31",6.8,21,281,164,184
"189","33:37",6.8,21,284,163,184
"190","33:49",6.9,21,282,160,182
"191","34:01",6.9,21,253,160,184
"192","34:12",6.9,21,289,163,188
"193","34:19",7,21,288,172,184
"194","34:28",7,21,282,179,188
"195","34:41",7.1,20,280,182,188
"196","34:54",7.1,19,287,186,184
"197","35:03",7.1,19,290,195,184
"198","35:10",7.2,19,253,193,184
"199","35:20",7.2,19,252,188,188
"200","35:32",7.2,19,287,184,184
"201","35:44",7.3,19,282,185,188
"202","35:55",7.3,17,274,181,188
