"","time","distance","elevation","pace","heartrate","cadence"
"1","13s",0,24,340,107,190
"2","21s",0,25,340,107,188
"3","30s",0,27,326,115,186
"4","43s",0.1,28,333,137,184
"5","45s",0.1,28,325,142,180
"6","55s",0.1,29,342,150,188
"7","1:01",0.1,29,336,142,186
"8","1:12",0.2,28,347,145,182
"9","1:18",0.2,28,347,141,188
"10","1:31",0.2,27,313,133,188
"11","1:39",0.2,26,343,134,190
"12","1:49",0.3,26,343,137,190
"13","1:55",0.3,26,338,141,186
"14","2:04",0.3,27,335,151,188
"15","2:11",0.3,27,339,153,194
"16","2:18",0.4,28,329,152,188
"17","2:25",0.4,28,326,153,188
"18","2:32",0.4,28,324,153,190
"19","2:44",0.4,28,325,150,188
"20","2:51",0.5,28,329,151,188
"21","2:58",0.5,28,331,152,190
"22","3:05",0.5,27,328,150,190
"23","3:12",0.5,27,322,148,190
"24","3:19",0.5,27,316,147,192
"25","3:31",0.6,27,314,148,188
"26","3:38",0.6,27,318,150,190
"27","3:45",0.6,27,329,149,188
"28","3:52",0.6,27,328,148,194
"29","4:00",0.7,27,330,145,190
"30","4:07",0.7,27,323,144,190
"31","4:14",0.7,27,319,144,192
"32","4:21",0.7,27,311,143,190
"33","4:33",0.8,26,318,141,188
"34","4:40",0.8,26,329,142,188
"35","4:47",0.8,26,335,140,188
"36","4:55",0.8,26,329,140,186
"37","5:02",0.9,26,324,139,188
"38","5:08",0.9,26,321,138,186
"39","5:15",0.9,26,313,139,186
"40","5:26",0.9,26,312,143,188
"41","5:31",1,26,320,139,182
"42","5:43",1,25,321,138,188
"43","5:50",1,25,319,138,182
"44","5:57",1,25,325,138,182
"45","6:04",1.1,25,327,140,180
"46","6:11",1.1,24,325,139,182
"47","6:18",1.1,24,326,140,184
"48","6:30",1.1,24,335,136,186
"49","6:40",1.2,24,315,137,182
"50","6:47",1.2,24,315,138,186
"51","6:55",1.2,24,365,138,182
"52","7:03",1.2,24,349,140,186
"53","7:10",1.3,24,345,140,186
"54","7:16",1.3,24,326,140,186
"55","7:30",1.3,24,334,143,184
"56","7:37",1.3,24,325,141,186
"57","7:44",1.4,24,326,138,182
"58","7:50",1.4,25,328,142,186
"59","7:57",1.4,25,327,141,188
"60","8:04",1.4,25,336,143,188
"61","8:18",1.5,25,313,144,182
"62","8:28",1.5,25,311,148,186
"63","8:33",1.5,25,341,145,184
"64","8:39",1.5,25,344,148,188
"65","8:46",1.5,25,324,148,188
"66","8:53",1.6,25,324,147,188
"67","9:01",1.6,25,332,145,182
"68","9:10",1.6,25,334,145,182
"69","9:18",1.6,25,336,146,182
"70","9:25",1.7,25,337,145,188
"71","9:37",1.7,24,334,149,190
"72","9:44",1.7,23,337,149,188
"73","9:51",1.7,23,334,148,184
"74","9:58",1.8,23,337,150,182
"75","10:12",1.8,22,341,147,182
"76","10:19",1.8,22,344,148,186
"77","10:26",1.8,22,344,150,186
"78","10:34",1.9,22,346,149,186
"79","10:42",1.9,24,345,146,182
"80","10:49",1.9,25,338,140,182
"81","10:57",1.9,26,317,140,182
"82","11:10",2,25,344,148,186
"83","11:17",2,24,310,147,182
"84","11:24",2,24,340,147,182
"85","11:31",2,24,328,147,186
"86","11:38",2,23,328,147,182
"87","11:52",2.1,24,327,148,184
"88","11:59",2.1,24,328,148,184
"89","12:06",2.1,24,329,147,180
"90","12:13",2.2,24,345,148,182
"91","12:18",2.2,24,348,153,186
"92","12:27",2.2,25,333,149,186
"93","12:40",2.2,25,326,147,188
"94","12:44",2.2,25,309,150,186
"95","12:51",2.3,25,315,151,188
"96","12:58",2.3,26,331,150,186
"97","13:05",2.3,26,337,152,186
"98","13:19",2.4,29,342,152,182
"99","13:27",2.4,28,342,152,188
"100","13:34",2.4,27,344,152,184
"101","13:41",2.4,26,337,150,186
"102","13:48",2.4,26,328,149,188
"103","13:55",2.5,25,329,151,188
"104","14:02",2.5,24,334,153,190
"105","14:17",2.5,24,343,156,180
"106","14:22",2.5,24,349,153,182
"107","14:30",2.6,24,345,152,188
"108","14:37",2.6,25,347,152,186
"109","14:48",2.6,25,345,153,180
"110","14:56",2.6,26,345,152,186
"111","15:04",2.7,27,347,150,182
"112","15:12",2.7,27,344,151,182
"113","15:19",2.7,27,342,151,182
"114","15:26",2.7,27,337,152,186
"115","15:33",2.7,26,334,152,184
"116","15:44",2.8,26,337,153,182
"117","15:51",2.8,26,341,154,180
"118","15:58",2.8,27,333,154,188
"119","16:11",2.9,27,329,151,188
"120","16:18",2.9,27,325,151,186
"121","16:28",2.9,27,328,148,182
"122","16:35",2.9,27,331,150,186
"123","16:44",3,26,331,151,184
"124","16:50",3,26,337,151,188
"125","16:56",3,26,340,154,186
"126","17:03",3,25,330,156,186
"127","17:10",3,25,343,155,180
"128","17:23",3.1,25,338,151,188
"129","17:31",3.1,25,341,150,184
"130","17:38",3.1,25,343,149,184
"131","17:45",3.1,25,342,150,184
"132","17:52",3.2,25,339,151,188
"133","18:03",3.2,25,339,152,188
"134","18:10",3.2,25,338,152,188
"135","18:17",3.2,25,338,151,188
"136","18:24",3.3,25,336,153,184
"137","18:37",3.3,25,335,151,184
"138","18:44",3.3,25,336,150,184
"139","18:52",3.3,25,333,151,184
"140","18:59",3.4,25,333,153,184
"141","19:06",3.4,24,335,154,188
"142","19:13",3.4,24,331,152,188
"143","19:20",3.4,24,335,152,186
"144","19:35",3.5,24,334,154,188
"145","19:42",3.5,23,335,153,188
"146","19:49",3.5,23,335,154,184
"147","19:55",3.5,23,337,153,180
"148","20:02",3.5,23,344,152,188
"149","20:09",3.6,23,312,153,186
"150","20:17",3.6,24,349,155,188
"151","20:29",3.6,23,346,151,184
"152","20:37",3.6,23,339,152,184
"153","20:44",3.7,23,334,153,184
"154","20:51",3.7,23,332,153,184
"155","20:58",3.7,23,330,153,182
"156","21:13",3.8,24,338,152,182
"157","21:20",3.8,24,340,154,184
"158","21:27",3.8,24,340,152,184
"159","21:31",3.8,24,341,155,184
"160","21:40",3.8,24,311,157,184
"161","21:48",3.9,24,314,153,182
"162","21:56",3.9,24,310,155,180
"163","22:10",3.9,25,315,150,184
"164","22:20",3.9,25,312,152,182
"165","22:27",4,25,344,153,180
"166","22:34",4,25,343,151,182
"167","22:41",4,25,345,154,180
"168","22:48",4,26,348,154,182
"169","22:55",4.1,26,346,155,182
"170","23:10",4.1,26,345,155,184
"171","23:18",4.1,26,348,154,180
"172","23:25",4.1,26,344,154,182
"173","23:33",4.2,26,349,157,184
"174","23:40",4.2,26,347,158,184
"175","23:48",4.2,26,342,157,180
"176","23:55",4.2,26,339,159,182
"177","24:06",4.3,26,330,162,188
"178","24:13",4.3,26,330,160,184
"179","24:20",4.3,25,330,160,188
"180","24:27",4.3,25,339,157,184
"181","24:34",4.3,25,333,157,182
"182","24:49",4.4,25,344,155,184
"183","24:56",4.4,25,310,154,184
"184","25:04",4.4,26,345,153,180
"185","25:12",4.5,27,316,155,180
"186","25:19",4.5,28,316,157,184
"187","25:27",4.5,28,314,155,184
"188","25:35",4.5,29,348,157,184
"189","25:47",4.6,29,344,158,180
"190","25:54",4.6,28,345,157,182
"191","26:01",4.6,28,344,155,188
"192","26:09",4.6,27,346,155,184
"193","26:16",4.6,27,311,155,184
"194","26:24",4.7,26,317,155,186
"195","26:32",4.7,26,317,157,182
"196","26:45",4.7,27,316,155,182
"197","26:52",4.7,27,315,153,182
"198","26:59",4.8,27,347,152,182
"199","27:07",4.8,28,347,154,184
"200","27:15",4.8,28,345,154,182
"201","27:26",4.8,28,345,156,182
"202","27:33",4.9,28,345,158,184
"203","27:41",4.9,28,345,157,182
"204","27:48",4.9,27,345,157,184
"205","28:03",4.9,27,313,155,184
"206","28:11",5,27,311,154,186
"207","28:19",5,27,346,154,182
"208","28:25",5,27,343,157,182
"209","28:32",5,27,338,157,188
"210","28:39",5,27,331,160,182
"211","28:46",5.1,27,333,158,188
"212","28:57",5.1,27,336,160,186
"213","29:04",5.1,27,334,158,184
"214","29:11",5.1,27,334,159,182
"215","29:25",5.2,26,335,158,184
"216","29:32",5.2,26,336,157,184
"217","29:39",5.2,26,310,157,184
"218","29:47",5.2,26,375,154,182
"219","29:55",5.3,26,373,156,174
"220","30:04",5.3,26,369,158,182
"221","30:13",5.3,26,370,155,184
"222","30:21",5.3,26,313,155,182
"223","30:28",5.4,26,314,157,182
"224","30:44",5.4,27,310,158,182
"225","30:51",5.4,27,344,157,182
"226","30:58",5.4,27,347,156,184
"227","31:04",5.5,27,343,159,188
"228","31:12",5.5,27,341,160,182
"229","31:20",5.5,27,348,158,182
"230","31:27",5.5,27,314,158,182
"231","31:38",5.6,27,313,162,182
"232","31:45",5.6,27,316,159,180
"233","31:53",5.6,27,317,162,182
"234","32:09",5.6,27,344,161,182
"235","32:16",5.7,28,342,161,184
"236","32:19",5.7,28,334,158,184
"237","32:26",5.7,28,326,157,184
"238","32:38",5.7,28,329,161,184
"239","32:45",5.8,28,327,163,182
"240","32:52",5.8,28,331,164,188
"241","33:03",5.8,27,347,161,188
"242","33:11",5.8,27,343,161,184
"243","33:19",5.9,26,312,163,184
"244","33:25",5.9,26,316,163,178
"245","33:33",5.9,26,345,162,182
"246","33:40",5.9,27,344,165,182
"247","33:55",6,28,336,163,190
"248","34:00",6,28,328,166,184
"249","34:07",6,29,329,164,184
"250","34:14",6,29,339,166,180
"251","34:22",6,28,338,168,182
"252","34:35",6.1,28,346,164,178
"253","34:42",6.1,26,347,164,182
"254","34:49",6.1,25,343,164,182
"255","34:56",6.1,25,338,166,180
"256","35:04",6.2,25,346,164,182
"257","35:11",6.2,25,345,163,182
"258","35:24",6.2,25,315,165,184
"259","35:30",6.2,25,346,164,182
"260","35:36",6.3,25,341,165,170
"261","35:50",6.3,25,338,167,182
"262","35:57",6.3,25,325,165,188
"263","36:02",6.3,25,315,162,184
"264","36:09",6.4,25,310,161,188
"265","36:15",6.4,25,310,161,184
"266","36:23",6.4,24,310,162,186
