"","time","distance","elevation","pace","heartrate","cadence"
"1","21s",0,6,329,126,182
"2","34s",0,6,333,133,182
"3","48s",0.1,6,329,139,178
"4","1:00",0.1,5,325,129,182
"5","1:14",0.2,5,335,124,184
"6","1:28",0.2,5,342,132,180
"7","1:43",0.3,4,340,131,182
"8","1:50",0.3,4,337,132,180
"9","2:09",0.3,4,326,134,184
"10","2:16",0.4,4,326,136,182
"11","2:30",0.4,4,324,137,182
"12","2:44",0.4,3,330,136,180
"13","2:58",0.5,3,335,134,180
"14","3:12",0.5,3,344,133,180
"15","3:19",0.5,3,344,133,182
"16","3:33",0.6,2,338,133,184
"17","3:47",0.6,2,323,134,178
"18","3:58",0.7,2,316,135,180
"19","4:12",0.7,2,320,137,180
"20","4:26",0.8,2,316,137,186
"21","4:39",0.8,2,309,138,184
"22","4:46",0.8,2,312,137,182
"23","4:57",0.8,4,326,156,182
"24","5:11",0.9,4,325,151,182
"25","5:24",0.9,3,322,147,182
"26","5:38",1,2,311,145,182
"27","5:51",1,2,312,143,182
"28","6:02",1.1,2,315,147,184
"29","6:16",1.1,2,320,142,184
"30","6:23",1.1,2,319,140,182
"31","6:37",1.2,2,315,140,182
"32","6:50",1.2,3,317,141,184
"33","7:04",1.2,3,315,142,184
"34","7:11",1.3,5,321,140,182
"35","7:25",1.3,6,311,140,188
"36","7:38",1.4,8,310,142,182
"37","7:49",1.4,7,304,143,180
"38","8:00",1.4,7,309,140,188
"39","8:14",1.5,6,308,140,186
"40","8:27",1.5,6,306,141,188
"41","8:33",1.5,6,301,141,188
"42","8:46",1.6,6,306,142,188
"43","9:00",1.6,5,307,140,188
"44","9:11",1.7,5,301,144,188
"45","9:23",1.7,5,301,143,188
"46","9:31",1.7,4,305,150,186
"47","9:46",1.8,4,315,152,188
"48","9:59",1.8,4,310,150,182
"49","10:13",1.9,4,307,149,188
"50","10:20",1.9,4,305,150,188
"51","10:32",1.9,4,301,148,188
"52","10:46",2,4,305,146,184
"53","10:59",2,4,309,144,182
"54","11:08",2,4,312,150,184
"55","11:22",2.1,4,326,148,184
"56","11:36",2.1,4,318,148,188
"57","11:43",2.2,4,316,147,188
"58","12:00",2.2,3,307,152,182
"59","12:07",2.2,3,307,152,182
"60","12:20",2.3,3,307,150,182
"61","12:34",2.3,3,310,151,184
"62","12:41",2.3,3,313,150,184
