"","time","distance","elevation","pace","heartrate","cadence"
"1","23s",0,13,312,124,178
"2","35s",0,13,311,138,182
"3","45s",0.1,14,345,141,182
"4","54s",0.1,14,348,138,180
"5","1:06",0.1,13,316,139,180
"6","1:17",0.2,12,364,141,180
"7","1:33",0.2,11,360,140,180
"8","1:41",0.2,11,319,141,176
"9","1:56",0.3,13,367,140,176
"10","2:08",0.3,14,347,141,178
"11","2:21",0.3,13,342,144,178
"12","2:28",0.4,13,339,143,180
"13","2:42",0.4,13,378,146,182
"14","2:53",0.4,11,385,144,180
"15","3:09",0.5,12,369,144,182
"16","3:23",0.5,12,340,144,182
"17","3:30",0.5,12,344,143,178
"18","3:45",0.6,12,310,142,180
"19","3:53",0.6,13,312,141,176
"20","4:07",0.6,13,346,140,176
"21","4:14",0.7,13,333,141,176
"22","4:28",0.7,13,322,141,178
"23","4:35",0.7,13,324,142,176
"24","4:49",0.8,13,315,142,176
"25","4:58",0.8,13,361,141,180
"26","5:13",0.8,13,362,142,180
"27","5:27",0.9,12,340,143,180
"28","5:34",0.9,11,339,144,180
"29","5:48",0.9,10,336,144,176
"30","5:55",1,11,337,144,180
"31","6:07",1,11,339,153,174
"32","6:17",1,12,348,154,180
"33","6:30",1.1,13,313,137,176
"34","6:44",1.1,13,316,142,176
"35","6:59",1.1,13,319,142,180
"36","7:07",1.2,13,318,142,180
"37","7:23",1.2,13,367,145,180
"38","7:29",1.2,12,362,148,174
"39","7:43",1.3,11,348,151,176
"40","7:51",1.3,11,341,159,182
"41","8:08",1.3,13,361,167,176
"42","8:14",1.4,13,313,164,176
"43","8:33",1.4,13,349,156,182
"44","8:39",1.4,13,339,154,182
"45","8:54",1.5,14,336,154,180
"46","9:01",1.5,14,339,155,180
"47","9:16",1.5,13,337,153,176
"48","9:24",1.6,13,338,153,180
"49","9:34",1.6,13,338,156,180
"50","9:46",1.6,13,315,154,182
"51","10:01",1.7,13,385,156,182
"52","10:10",1.7,13,393,158,180
"53","10:26",1.7,14,395,154,182
"54","10:42",1.8,14,374,153,182
"55","10:50",1.8,14,362,153,180
