"","time","distance","elevation","pace","heartrate","cadence"
"1","19s",0,12,333,106,182
"2","33s",0.1,13,343,113,182
"3","46s",0.1,14,347,119,186
"4","58s",0.1,14,360,112,180
"5","1:16",0.2,12,338,114,182
"6","1:23",0.2,12,337,114,182
"7","1:38",0.2,11,337,117,182
"8","1:52",0.3,13,311,115,180
"9","2:01",0.3,13,342,114,180
"10","2:14",0.3,13,333,116,180
"11","2:28",0.4,13,337,114,184
"12","2:38",0.4,12,345,115,180
"13","2:52",0.5,12,338,119,176
"14","3:06",0.5,12,329,116,182
"15","3:20",0.5,12,331,114,176
"16","3:27",0.6,12,336,114,178
"17","3:42",0.6,13,330,114,180
"18","3:55",0.6,13,311,118,182
"19","4:04",0.7,13,255,125,184
"20","4:17",0.7,13,267,141,180
"21","4:23",0.8,13,274,139,180
"22","4:34",0.8,13,283,133,182
"23","4:45",0.8,13,288,130,178
"24","4:57",0.9,12,289,125,184
"25","5:03",0.9,11,289,124,182
"26","5:17",0.9,10,314,138,180
"27","5:29",1,11,322,134,178
"28","5:39",1,12,323,130,180
"29","5:53",1,13,324,132,182
"30","6:08",1.1,13,319,131,178
"31","6:14",1.1,13,318,129,180
"32","6:28",1.2,13,327,128,182
"33","6:44",1.2,13,347,128,182
"34","6:56",1.2,11,344,130,182
"35","7:03",1.3,11,339,129,182
"36","7:18",1.3,12,334,129,182
"37","7:32",1.3,13,346,128,180
"38","7:47",1.4,13,326,128,182
"39","7:53",1.4,13,315,129,180
"40","8:06",1.5,14,319,131,182
"41","8:21",1.5,14,345,130,182
"42","8:28",1.5,14,311,128,182
"43","8:44",1.6,13,332,129,182
"44","8:53",1.6,13,327,130,182
"45","9:10",1.6,13,343,129,182
"46","9:17",1.7,13,347,129,180
"47","9:33",1.7,14,341,129,182
"48","9:48",1.7,14,342,128,184
"49","10:02",1.8,15,340,128,180
"50","10:10",1.8,16,307,129,182
"51","10:21",1.9,16,278,129,184
"52","10:32",1.9,15,276,129,182
"53","10:39",1.9,15,290,130,182
"54","10:53",2,15,256,129,182
"55","11:06",2,15,283,130,184
"56","11:12",2,15,252,131,182
"57","11:26",2.1,16,305,132,182
"58","11:39",2.1,16,309,130,180
"59","11:46",2.1,16,312,129,180
"60","12:00",2.2,16,326,129,182
"61","12:14",2.2,16,333,130,180
"62","12:21",2.3,16,331,128,182
"63","12:38",2.3,15,330,129,180
"64","12:45",2.3,15,330,129,182
"65","12:59",2.4,14,330,130,182
"66","13:13",2.4,14,334,131,182
"67","13:27",2.5,14,330,130,180
"68","13:34",2.5,14,327,131,184
"69","13:48",2.5,15,319,129,182
"70","14:02",2.6,15,318,130,182
"71","14:09",2.6,15,319,130,180
"72","14:23",2.6,14,321,126,184
"73","14:35",2.7,14,331,131,180
"74","14:49",2.7,15,331,132,182
"75","14:56",2.7,15,326,131,182
"76","15:10",2.8,16,322,131,184
"77","15:22",2.8,16,326,135,182
"78","15:36",2.8,16,345,135,180
"79","15:46",2.9,16,346,136,182
"80","16:02",2.9,16,345,134,182
"81","16:16",3,18,340,134,184
"82","16:23",3,18,335,134,182
"83","16:38",3,19,336,134,180
"84","16:52",3.1,19,329,134,180
"85","16:59",3.1,19,328,134,184
"86","17:17",3.1,18,334,146,182
"87","17:24",3.2,18,333,148,184
"88","17:36",3.2,18,320,144,184
"89","17:50",3.2,17,327,142,180
"90","18:03",3.3,17,329,140,184
"91","18:18",3.3,19,334,139,180
"92","18:29",3.4,20,341,144,184
"93","18:40",3.4,21,347,145,182
"94","18:56",3.4,21,340,143,180
"95","19:03",3.5,21,333,140,184
"96","19:15",3.5,21,321,138,182
"97","19:26",3.5,21,326,144,182
"98","19:40",3.6,20,336,142,182
"99","19:55",3.6,20,338,139,182
"100","20:09",3.7,19,346,138,182
"101","20:16",3.7,18,336,138,184
"102","20:31",3.7,17,329,138,182
"103","20:45",3.8,17,321,138,184
"104","20:52",3.8,17,322,138,180
"105","21:06",3.8,18,329,138,182
"106","21:21",3.9,18,328,140,182
"107","21:28",3.9,18,329,140,184
"108","21:42",3.9,18,328,139,184
"109","21:56",4,18,330,141,182
"110","22:09",4,19,333,137,182
"111","22:16",4,19,335,138,182
"112","22:28",4.1,20,338,142,180
"113","22:42",4.1,21,343,141,182
"114","22:57",4.2,22,311,140,184
"115","23:12",4.2,26,336,140,182
"116","23:18",4.2,27,322,141,182
"117","23:32",4.3,28,304,141,182
"118","23:46",4.3,25,306,142,184
"119","23:53",4.3,23,308,144,184
"120","24:03",4.4,21,309,147,184
"121","24:17",4.4,17,314,147,184
"122","24:31",4.5,19,319,146,182
"123","24:43",4.5,21,316,149,182
"124","24:55",4.5,21,317,144,182
"125","25:02",4.6,22,320,146,182
"126","25:16",4.6,22,328,143,182
"127","25:30",4.6,20,337,143,184
"128","25:37",4.7,19,332,145,184
"129","25:52",4.7,18,325,143,182
"130","26:06",4.8,18,314,144,184
"131","26:19",4.8,17,311,145,184
"132","26:26",4.8,17,312,145,188
"133","26:40",4.9,17,316,145,184
"134","26:51",4.9,17,313,148,184
"135","27:05",4.9,17,301,148,182
"136","27:11",5,17,306,150,180
"137","27:25",5,18,311,149,182
"138","27:39",5.1,18,321,148,180
"139","27:46",5.1,18,323,149,182
"140","28:00",5.1,18,328,150,184
"141","28:11",5.2,18,329,152,182
"142","28:25",5.2,18,326,148,182
"143","28:39",5.2,18,324,146,182
"144","28:46",5.3,19,322,147,184
"145","29:02",5.3,19,335,153,180
"146","29:10",5.3,18,332,152,180
"147","29:21",5.4,18,332,149,184
"148","29:33",5.4,17,316,149,182
"149","29:47",5.5,17,321,150,182
"150","30:01",5.5,16,323,151,184
"151","30:15",5.5,17,326,151,184
