"","time","distance","elevation","pace","heartrate","cadence"
"1",10,0,4,325,65,172
"2",15,0,4,325,67,172
"3",20,0,4,303,81,172
"4",25,0,4,306,97,176
"5",30,0,4,312,109,176
"6",35,0.1,3,315,112,174
"7",40,0.1,3,319,111,172
"8",46,0.1,2,322,116,172
"9",51,0.1,2,326,116,172
"10",57,0.1,3,336,117,176
"11",62,0.1,3,332,116,172
"12",68,0.2,3,329,116,176
"13",74,0.2,3,330,116,172
"14",79,0.2,4,329,118,172
"15",84,0.2,5,328,120,174
"16",89,0.2,6,344,121,176
"17",95,0.2,6,319,121,174
"18",100,0.3,6,362,121,172
"19",108,0.3,5,316,119,172
"20",75,0.3,5,370,114,172
"21",120,0.3,4,368,114,174
"22",125,0.3,4,362,115,178
"23",131,0.3,5,343,115,172
"24",136,0.4,5,310,118,172
"25",142,0.4,3,360,119,176
"26",149,0.4,2,345,119,172
"27",154,0.4,2,346,122,172
"28",160,0.4,2,339,124,172
"29",166,0.4,3,331,124,172
"30",131,0.5,3,330,122,172
"31",136,0.5,4,328,121,172
"32",181,0.5,4,328,120,172
"33",187,0.5,4,327,117,176
"34",193,0.5,5,322,114,176
"35",198,0.5,5,321,113,176
"36",203,0.6,5,325,113,172
"37",208,0.6,6,318,113,174
"38",213,0.6,6,315,114,172
"39",219,0.6,7,316,114,176
"40",224,0.6,7,315,114,174
"41",229,0.6,8,324,114,172
"42",194,0.7,9,314,113,172
"43",199,0.7,10,315,112,176
"44",245,0.7,10,315,112,166
"45",254,0.7,12,377,114,176
"46",260,0.7,14,408,114,176
"47",265,0.7,15,423,113,172
"48",271,0.8,16,391,114,172
"49",279,0.8,18,394,121,176
"50",287,0.8,19,371,125,178
"51",252,0.8,20,407,124,182
"52",259,0.8,22,368,124,180
"53",305,0.8,23,317,125,182
"54",311,0.9,23,311,127,172
"55",316,0.9,23,341,128,176
"56",322,0.9,23,327,127,172
"57",328,0.9,23,317,127,170
"58",333,0.9,22,319,126,170
"59",337,0.9,22,314,124,174
"60",343,1,21,259,121,172
"61",348,1,20,254,116,172
"62",313,1,19,290,113,172
"63",317,1,18,283,111,172
"64",362,1,17,273,107,172
"65",366,1,16,271,105,172
"66",371,1.1,15,271,104,176
"67",375,1.1,14,273,104,172
"68",380,1.1,13,276,105,172
"69",384,1.1,13,279,106,176
"70",389,1.1,12,280,106,172
"71",393,1.1,11,280,108,176
"72",398,1.1,10,280,108,172
"73",403,1.2,10,284,107,172
"74",407,1.2,9,287,105,172
"75",372,1.2,9,285,104,172
"76",377,1.2,8,287,104,172
"77",422,1.2,8,254,105,172
"78",427,1.2,8,300,104,172
"79",431,1.3,8,301,104,170
"80",436,1.3,8,258,104,170
"81",442,1.3,7,258,106,170
"82",447,1.3,7,256,107,170
"83",451,1.3,7,251,109,170
"84",456,1.3,6,285,110,170
"85",461,1.4,5,279,110,176
"86",465,1.4,4,277,110,172
"87",430,1.4,5,281,109,172
"88",434,1.4,5,285,108,172
"89",439,1.4,6,254,108,172
"90",484,1.4,6,308,107,168
"91",489,1.5,5,317,107,174
"92",495,1.5,4,319,108,170
"93",501,1.5,3,315,109,170
"94",506,1.5,2,312,112,170
"95",510,1.5,1,309,113,170
"96",515,1.5,1,303,113,170
"97",520,1.6,0,259,115,176
"98",525,1.6,0,302,116,170
"99",530,1.6,0,309,117,168
"100",495,1.6,0,322,117,170
"101",540,1.6,0,328,116,170
"102",546,1.6,0,320,113,176
"103",552,1.7,1,324,114,172
"104",557,1.7,2,331,116,170
"105",562,1.7,3,326,117,170
"106",567,1.7,3,308,117,172
"107",573,1.7,5,301,115,172
"108",578,1.7,5,302,113,172
"109",582,1.8,4,259,112,172
"110",587,1.8,4,254,111,172
"111",552,1.8,4,253,111,168
"112",557,1.8,5,257,111,168
"113",602,1.8,5,256,110,170
"114",607,1.8,6,300,108,170
"115",612,1.9,6,316,107,172
"116",616,1.9,6,321,107,172
"117",622,1.9,6,320,108,172
"118",628,1.9,6,319,109,170
"119",634,1.9,6,318,109,170
"120",639,1.9,6,312,109,170
"121",644,2,6,259,109,170
"122",648,2,6,253,109,170
"123",613,2,6,290,110,170
"124",618,2,6,290,111,168
"125",663,2,6,255,111,170
"126",667,2,6,256,113,170
"127",672,2.1,6,254,115,168
"128",677,2.1,6,259,115,170
"129",682,2.1,6,309,115,170
"130",687,2.1,6,311,114,170
"131",693,2.1,6,317,112,170
"132",698,2.1,6,334,111,170
"133",703,2.2,6,337,110,170
"134",708,2.2,6,329,109,170
"135",675,2.2,6,312,110,170
"136",720,2.2,6,308,111,170
"137",725,2.2,6,254,111,170
"138",729,2.2,6,276,110,170
"139",734,2.3,6,269,109,170
"140",738,2.3,6,272,107,170
"141",743,2.3,6,277,106,170
"142",747,2.3,6,278,106,170
"143",752,2.3,6,280,108,170
"144",757,2.3,6,282,109,170
"145",761,2.4,6,251,110,170
"146",766,2.4,6,251,112,170
"147",770,2.4,6,287,113,170
"148",736,2.4,5,288,114,170
"149",781,2.4,5,256,113,168
"150",785,2.4,5,302,112,170
"151",790,2.5,5,302,113,170
"152",795,2.5,5,300,115,170
"153",800,2.5,5,302,115,170
"154",806,2.5,5,304,113,170
"155",810,2.5,5,303,112,170
"156",815,2.5,5,252,112,170
"157",820,2.6,5,287,110,170
"158",825,2.6,4,282,110,170
"159",829,2.6,4,281,110,170
"160",794,2.6,4,276,110,172
"161",798,2.6,4,276,109,170
"162",843,2.6,4,276,109,170
"163",847,2.6,4,276,110,170
"164",852,2.7,4,276,111,170
"165",857,2.7,4,276,111,176
"166",861,2.7,5,279,111,172
"167",866,2.7,4,279,110,172
"168",870,2.7,4,283,110,170
"169",875,2.7,3,285,109,170
"170",880,2.8,2,289,109,170
"171",885,2.8,2,254,110,170
"172",890,2.8,3,257,112,170
"173",854,2.8,3,300,112,170
"174",859,2.8,3,258,112,170
"175",904,2.8,3,302,110,170
"176",909,2.9,3,302,111,170
"177",914,2.9,3,257,111,176
"178",920,2.9,4,290,110,172
"179",924,2.9,5,285,110,172
"180",929,2.9,6,284,110,176
"181",933,2.9,6,279,111,172
"182",938,3,6,286,113,172
"183",942,3,6,289,113,172
"184",947,3,6,304,113,172
"185",912,3,6,339,113,166
"186",917,3,6,369,113,170
"187",964,3,6,369,114,168
"188",974,3.1,7,380,109,170
"189",979,3.1,7,381,109,170
"190",984,3.1,7,347,109,168
"191",989,3.1,7,317,108,170
"192",995,3.1,7,309,107,170
"193",1001,3.1,7,308,106,170
"194",1006,3.2,7,309,105,170
"195",1010,3.2,7,304,105,170
"196",974,3.2,7,255,105,170
"197",1020,3.2,6,290,106,170
"198",1025,3.2,6,254,107,170
"199",1030,3.2,5,259,109,168
"200",1035,3.3,5,288,109,170
"201",1039,3.3,5,277,108,168
"202",1044,3.3,4,276,108,168
"203",1048,3.3,4,280,109,170
"204",1053,3.3,4,283,110,170
"205",1057,3.3,4,282,110,170
"206",1062,3.4,4,280,108,170
"207",1067,3.4,4,280,108,170
"208",1032,3.4,4,274,108,170
"209",1036,3.4,4,269,110,170
"210",1080,3.4,5,269,110,170
"211",1085,3.4,5,265,110,170
"212",1089,3.5,5,268,110,170
"213",1094,3.5,5,273,110,170
"214",1098,3.5,5,278,111,170
"215",1103,3.5,5,285,113,170
"216",1107,3.5,5,290,115,170
"217",1112,3.5,5,305,116,170
"218",1117,3.6,6,305,116,170
"219",1122,3.6,6,301,116,170
"220",1128,3.6,6,300,117,170
"221",1093,3.6,6,302,116,170
"222",1097,3.6,5,255,116,168
"223",1142,3.6,5,279,117,168
"224",1147,3.7,4,281,117,168
"225",1152,3.7,3,286,116,168
"226",1156,3.7,3,285,115,168
"227",1161,3.7,3,282,112,168
"228",1165,3.7,3,285,109,170
"229",1170,3.7,3,290,108,168
"230",1175,3.8,4,286,110,168
"231",1180,3.8,4,281,109,170
"232",1185,3.8,4,278,108,168
"233",1189,3.8,4,274,109,170
"234",1153,3.8,5,267,110,170
"235",1158,3.8,5,267,110,170
"236",1202,3.9,5,272,111,170
"237",1206,3.9,4,279,111,170
"238",1211,3.9,4,289,112,170
"239",1216,3.9,4,259,112,170
"240",1221,3.9,5,317,113,170
"241",1226,3.9,5,319,113,170
"242",1232,4,6,317,114,170
"243",1238,4,6,311,113,168
"244",1243,4,5,306,113,168
"245",1248,4,5,256,113,168
"246",1212,4,4,286,113,168
"247",1217,4,4,283,115,166
"248",1262,4.1,3,283,116,176
"249",1266,4.1,3,286,116,168
"250",1271,4.1,3,289,115,170
"251",1276,4.1,3,258,111,168
"252",1280,4.1,3,301,110,170
"253",1285,4.1,3,301,111,168
"254",1291,4.2,3,306,112,168
"255",1296,4.2,4,309,112,168
"256",1301,4.2,4,312,111,168
"257",1306,4.2,4,306,110,168
"258",1271,4.2,4,303,109,168
"259",1276,4.2,4,304,108,168
"260",1321,4.2,5,300,107,168
"261",1326,4.3,5,257,107,168
"262",1331,4.3,5,253,107,170
"263",1336,4.3,6,258,106,170
"264",1340,4.3,6,258,108,170
"265",1345,4.3,6,258,111,170
